Week,Date,Manhattan,Brooklyn,Orange,Average
25,6/16/2016 - 6/22/2016,38.57142857,33,26.14285714,32.57142857
26,6/23/2016 - 6/29/2016,46.57142857,34.71428571,33.57142857,38.28571429
27,6/30/2016 - 7/6/2016,34.42857143,28,24.71428571,29.04761905
28,7/7/2016 - 7/13/2016,28.57142857,18.71428571,19.14285714,22.14285714
29,7/14/2016 - 7/20/2016,41.14285714,34,25.71428571,33.61904762
30,7/21/2016 - 7/27/2016,43.57142857,33.57142857,35.57142857,37.57142857
31,7/28/2016 - 8/3/2016,48.71428571,38.14285714,19.71428571,35.52380952
32,8/4/2016 - 8/10/2016,32.85714286,28.28571429,20.57142857,27.23809524
33,8/11/2016 - 8/17/2016,35.71428571,30,17.42857143,27.71428571
34,8/18/2016 - 8/24/2016,31.42857143,24,18.57142857,24.66666667
35,8/25/2016 - 8/31/2016,33.57142857,26.71428571,35.57142857,31.95238095
36,9/1/2016 - 9/7/2016,26.85714286,18.14285714,12,19
37,9/8/2016 - 9/14/2016,40.14285714,32,22.57142857,31.57142857
38,9/15/2016 - 9/21/2016,26.57142857,21.14285714,18.28571429,22
39,9/22/2016 - 9/28/2016,29.28571429,20.57142857,14.85714286,21.57142857
40,9/29/2016 - 10/5/2016,29.28571429,20,10.42857143,19.9047619
41,10/6/2016 - 10/12/2016,32.85714286,25.71428571,16.85714286,25.14285714
42,10/13/2016 - 10/19/2016,43.85714286,35.71428571,27.42857143,35.66666667
43,10/20/2016 - 10/26/2016,26.28571429,16.28571429,10.85714286,17.80952381
44,10/27/2016 - 11/2/2016,37.28571429,26,21.57142857,28.28571429
45,11/3/2016 - 11/9/2016,36.57142857,34.42857143,22,31
46,11/10/2016 - 11/16/2016,38.28571429,29.85714286,21.28571429,29.80952381
47,11/17/2016 - 11/23/2016,37,30.28571429,21.28571429,29.52380952
48,11/24/2016 - 11/30/2016,41.85714286,34.42857143,27.71428571,34.66666667
49,12/1/2016 - 12/7/2016,37.85714286,26.28571429,17.85714286,27.33333333
50,12/8/2016 - 12/14/2016,49.57142857,40.14285714,32.28571429,40.66666667
51,12/15/2016 - 12/21/2016,50.42857143,42,34.85714286,42.42857143
52,12/22/2016 - 12/28/2016,47.71428571,37.42857143,33.57142857,39.57142857
1,12/29/2016 - 1/4/2017,47.57142857,35.71428571,33,38.76190476
2,1/5/2017 - 1/11/2017,52.14285714,42.85714286,37,44
3,1/12/2017 - 1/18/2017,53,43.71428571,41.14285714,45.95238095
4,1/19/2017 - 1/25/2017,46,34.14285714,26.71428571,35.61904762
5,1/26/2017 - 2/1/2017,43.85714286,32.57142857,31.85714286,36.0952381
6,2/2/2017 - 2/8/2017,49,42.42857143,28.57142857,40
7,2/9/2017 - 2/15/2017,46.42857143,34.14285714,44.28571429,41.61904762
8,2/16/2017 - 2/22/2017,48,36,55.14285714,46.38095238
9,2/23/2017 - 3/1/2017,49,34.14285714,30,37.71428571
10,3/2/2017 - 3/8/2017,48.42857143,26.57142857,22.14285714,32.38095238
11,3/9/2017 - 3/15/2017,38.42857143,19.57142857,27.5,28.5
12,3/16/2017 - 3/22/2017,45,30.71428571,25.66666667,33.79365079
13,3/23/2017 - 3/29/2017,48.71428571,32.28571429,27.14285714,36.04761905
14,3/30/2017 - 4/5/2017,31.57142857,18.57142857,11.28571429,20.47619048
15,4/6/2017 - 4/12/2017,41.42857143,30.57142857,20.14285714,30.71428571
16,4/13/2017 - 4/19/2017,26.14285714,21.71428571,17.85714286,21.9047619
17,4/20/2017 - 4/26/2017,29.14285714,18.57142857,7.714285714,18.47619048
18,4/27/2017 - 5/3/2017,34.71428571,29.42857143,16.14285714,26.76190476
19,5/4/2017 - 5/10/2017,23.57142857,17.71428571,8.857142857,16.71428571
20,5/11/2017 - 5/17/2017,26.71428571,19.42857143,9,18.38095238
21,5/18/2017 - 5/24/2017,35.57142857,25.85714286,20.42857143,27.28571429
22,5/25/2017 - 5/31/2017,23.42857143,15,5.428571429,14.61904762
23,6/1/2017 - 6/7/2017,28.42857143,18.14285714,6.2,17.59047619
24,6/8/2017 - 6/14/2017,47.85714286,40.85714286,30.28571429,39.66666667
25,6/15/2017 - 6/21/2017,33.28571429,26.14285714,18.85714286,26.0952381
26,6/22/2017 - 6/28/2017,32,25.28571429,14.71428571,24
27,6/29/2017 - 7/5/2017,42.14285714,37.71428571,31.57142857,37.14285714
28,7/6/2017 - 7/12/2017,36.57142857,30.42857143,24.71428571,30.57142857
29,7/13/2017 - 7/19/2017,33.85714286,28.14285714,21.85714286,27.95238095
30,7/20/2017 - 7/26/2017,43.14285714,34.57142857,28.71428571,35.47619048
