Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
3/20/1900,3/20/2020,34,25,4,3/21/2019,42,38,11,3/21/2018,26,33,20,3/21/2017,59,31,6,3/21/2016,15,32,10,35.5,33.5,11.75,15.78402546,18.80782638,24.71767374,2.557028878,3.046887836,4.004289382,4.85974688,5.790745573,7.610329707
3/21/1900,3/21/2020,25,29,1,3/22/2019,46,32,5,3/22/2018,37,37,8,3/22/2017,61,30,2,3/22/2016,28,33,4,43,33,4.75,11.57257106,13.78956894,18.12256554,2.421158982,2.88498887,3.791518074,2.056067034,2.449954981,3.219786629
3/22/1900,3/22/2020,18,31,5,3/23/2019,13,34,2,3/23/2018,20,35,4,3/23/2017,8,35,4,3/23/2016,16,33,5,14.25,34.25,3.75,4.159832329,4.956745946,6.514268404,0.787413725,0.938261325,1.2330844,1.034864379,1.233116965,1.620590398
3/23/1900,3/23/2020,16,27,3,3/24/2019,11,38,1,3/24/2018,18,33,1,3/24/2017,19,33,9,3/24/2016,20,29,4,17,33.25,3.75,3.357543406,4.00075973,5.257889549,3.031101227,3.611779881,4.746683373,3.104593138,3.699350896,4.861771194
3/24/1900,3/24/2020,23,28,4,3/25/2019,22,34,5,3/25/2018,15,35,2,3/25/2017,32,34,13,3/25/2016,24,29,5,23.25,33,6.25,5.752090213,6.854038238,9.007733142,2.227142339,2.65380378,3.487689364,3.87937952,4.622565812,6.075081262
3/25/1900,3/25/2020,26,29,8,3/26/2019,15,36,5,3/26/2018,21,34,14,3/26/2017,34,39,9,3/26/2016,33,31,11,25.75,35,9.75,7.637950034,9.101178815,11.96097646,2.768701221,3.29911099,4.335766795,3.104593138,3.699350896,4.861771194
3/26/1900,3/26/2020,24,32,5,3/27/2019,19,37,3,3/27/2018,36,37,11,3/27/2017,31,27,13,3/27/2016,25,31,7,27.75,33,8.5,6.057551741,7.218018097,9.486083763,4.029052088,4.800911676,6.309467458,3.647225701,4.345937475,5.711530001
3/27/1900,3/27/2020,28,29,2,3/28/2019,22,38,3,3/28/2018,22,29,5,3/28/2017,41,17,15,3/28/2016,50,28,11,33.75,28,8.5,11.56038812,13.77505207,18.10348714,7.074782958,8.430123853,11.07906075,4.529573695,5.397319957,7.093280804
3/28/1900,3/28/2020,17,28,8,3/29/2019,26,31,6,3/29/2018,29,26,7,3/29/2017,19,32,4,3/29/2016,39,36,2,28.25,31.25,4.75,6.827463592,8.135424652,10.69176035,3.382631253,4.030653743,5.297176941,1.823612851,2.172968737,2.855765001
3/29/1900,3/29/2020,32,28,3,3/30/2019,37,21,9,3/30/2018,47,28,3,3/30/2017,7,39,9,3/30/2016,16,36,6,26.75,31,6.75,15.17037541,18.07661724,23.75670205,6.681427018,7.961411341,10.46306809,2.362241176,2.814783974,3.6992532
3/30/1900,3/30/2020,27,27,2,3/31/2019,38,29,3,3/31/2018,23,32,5,3/31/2017,13,35,3,3/31/2016,22,36,8,24,33,4.75,8.520489971,10.15279001,13.34302785,2.600741939,3.098975162,4.072743732,1.943318743,2.315607106,3.043223593
3/31/1900,3/31/2020,18,35,3,4/1/2019,17,33,1,4/1/2018,18,34,1,4/1/2017,19,32,4,4/1/2016,24,37,2,19.5,34,2,2.557028878,3.046887836,4.004289382,1.776644974,2.11700306,2.782213633,1.163087154,1.385903824,1.821386368
4/1/1900,4/1/2020,21,32,4,4/2/2019,15,39,2,4/2/2018,20,35,3,4/2/2017,33,31,5,4/2/2016,16,33,2,21,34.5,3,6.815068791,8.120655336,10.67235018,2.809122355,3.347275742,4.399066009,1.163087154,1.385903824,1.821386368
