"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"05/02/2018","119","Ozone","Colliers Mills","34-029-0006","AQS","6","119","6","31","63","62"
"05/03/2018","93","Ozone","Rutgers University","34-023-0011","AQS","6","93","3",".","61","60"
"05/04/2018","74","Ozone","Flemington","34-019-0001","AQS","8","74","1",".","60","48"
"05/05/2018","88","PM2.5","PS 19","36-061-0128","AQS","6","61","1","9","88","32"
"05/06/2018","48","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","48","11",".","48","31"
"05/07/2018","51","Ozone","Colliers Mills","34-029-0006","AQS","8","51","0",".","48","42"
"05/08/2018","71","Ozone","MILLBROOK","36-027-0007","AQS","6","71","1","19","52","54"
"05/09/2018","90","Ozone","Flemington","34-019-0001","AQS","6","90","7",".","56","60"
"05/10/2018","49","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","48","4",".","49","47"
"05/11/2018","54","Ozone","Chester","34-027-3001","AQS","7","54","3","9","40","48"
"05/12/2018","46","Ozone","BABYLON","36-103-0002","AQS","6","46","1",".","39","31"
"05/13/2018","38","Ozone","BABYLON","36-103-0002","AQS","7","38","0",".","35","24"
"05/14/2018","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","36","41","0","18","62","43"
"05/15/2018","74","Ozone","FRESHKILLS WEST","36-085-0111","AQS","6","74","1",".","73","33"
"05/16/2018","48","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","41","1",".","48","42"
"05/17/2018","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","31","3","7","56","47"
"05/18/2018","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","42","1",".","52","39"
"05/19/2018","33","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","31","1",".","33","31"
"05/20/2018","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","40","0","14","45","29"
"05/21/2018","58","Ozone","Rutgers University","34-023-0011","AQS","6","58","1",".","43","40"
"05/22/2018","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","36","3",".","55","55"
"05/23/2018","58","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","43","1",".","58","42"
"05/24/2018","93","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","6","93","3",".","51","45"
"05/25/2018","108","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","5","108","1",".","60","40"
"05/26/2018","115","Ozone","RIVERHEAD","36-103-0004","AQS","7","115","1","27","66","49"
"05/27/2018","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","46","1",".","52","42"
"05/28/2018","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","31","0",".","45","26"
"05/29/2018","115","Ozone","Ramapo","34-031-5001","AQS","8","115","1",".","65","54"
"05/30/2018","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","58","1",".","60","43"
"05/31/2018","57","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","35","1",".","57","33"
"06/01/2018","69","PM2.5","BABYLON","36-103-0002","AQS","8","46","1","24","69","42"
"06/02/2018","93","Ozone","Monmouth University","34-025-0005","AQS","6","93","1","15","62","40"
"06/03/2018","40","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","29","3",".","40","13"
"06/04/2018","43","NO2","Jersey City","34-017-1002","AQS","6","33","1",".","38","43"
"06/05/2018","54","Ozone","Colliers Mills","34-029-0006","AQS","6","54","1",".","51","38"
"06/06/2018","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","33","1",".","53","29"
"06/07/2018","54","PM2.5","Paterson","34-031-0005","AQS","5","42","1","17","54","30"
"06/08/2018","74","Ozone","Chester","34-027-3001","AQS","6","74","3",".","54","56"
"06/09/2018","119","Ozone","Rutgers University","34-023-0011","AQS","6","119","1",".","55","34"
"06/10/2018","50","PM2.5","Chester","34-027-3001","AQS","6","37","1","12","50","38"
"06/11/2018","49","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","45","3",".","49","36"
"06/12/2018","53","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","51","3",".","53","35"
"06/13/2018","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","44","1","19","54","48"
"06/14/2018","46","Ozone","Chester","34-027-3001","AQS","5","46","1",".","37","29"
"06/15/2018","47","NO2","Elizabeth Lab","34-039-0004","AQS","5","40","1",".","44","47"
"06/16/2018","61","Ozone","BABYLON","36-103-0002","AQS","5","61","1","11","48","39"
"06/17/2018","115","Ozone","Bayonne","34-017-0006","AQS","6","115","7",".","56","31"
"06/18/2018","133","Ozone","WHITE PLAINS","36-119-2004","AQS","6","133","4",".","71","35"
"06/19/2018","53","PM2.5","PS 19","36-061-0128","AQS","5","47","3","16","53","27"
"06/20/2018","101","Ozone","Rockland County","36-087-0005","AQS","6","101","3",".","53","38"
