"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2016","50","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32","1","3","50","23"
"01/02/2016","63","PM2.5","Intermediate School 143","36-061-0115","AQS","7","31","3",".","63","29"
"01/03/2016","73","PM2.5","Intermediate School 143","36-061-0115","AQS","9","29","4",".","73","32"
"01/04/2016","48","PM2.5","Intermediate School 143","36-061-0115","AQS","8","30","4","4","48","23"
"01/05/2016","59","PM2.5","IS 74","36-005-0112","AQS","10","31","9",".","59","48"
"01/06/2016","68","PM2.5","Intermediate School 143","36-061-0115","AQS","17","30","14",".","68","60"
"01/07/2016","96","PM2.5","Jersey City Firehouse","34-017-1003","AQS","19","21","17","51","96","68"
"01/08/2016","77","PM2.5","PS 19","36-061-0128","AQS","19","31","10",".","77","48"
"01/09/2016","63","PM2.5","PS 19","36-061-0128","AQS","11","31","3",".","63","34"
"01/10/2016","39","PM2.5","Intermediate School 143","36-061-0115","AQS","10","33","1","11","39","26"
"01/11/2016","45","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","33","3",".","45","37"
"01/12/2016","55","PM2.5","Intermediate School 143","36-061-0115","AQS","13","31","4",".","55","48"
"01/13/2016","48","PM2.5","Intermediate School 143","36-061-0115","AQS","8","36","4","12","48","31"
"01/14/2016","61","PM2.5","Intermediate School 143","36-061-0115","AQS","10","26","7",".","61","44"
"01/15/2016","105","PM2.5","Fort Lee Near Road","34-003-0010","AQS","19","28","10",".","105","64"
"01/16/2016","52","PM2.5","Intermediate School 143","36-061-0115","AQS","14","31","3","6","52","50"
"01/17/2016","42","PM2.5","Intermediate School 143","36-061-0115","AQS","6","34","3",".","42","27"
"01/18/2016","51","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32","3",".","51","29"
"01/19/2016","41","PM2.5","Intermediate School 143","36-061-0115","AQS","5","35","4","16","41","30"
"01/20/2016","42","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","35","4",".","42","40"
"01/21/2016","48","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","37","6",".","48","38"
"01/22/2016","53","PM2.5","PS 19","36-061-0128","AQS","8","39","4","6","53","43"
"01/23/2016","47","PM2.5","PS 19","36-061-0128","AQS","7","36","4",".","47","25"
"01/24/2016","52","PM2.5","EISENHOWER PARK","36-059-0005","AQS","10","36","4",".","52","46"
"01/25/2016","83","NO2","Jersey City","34-017-1002","AQS","16","35","7","21","64","83"
