"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2020","36","PM2.5","Intermediate School 143","36-061-0115","AQS","2","31","0",".","36","17"
"01/02/2020","56","PM2.5","Intermediate School 143","36-061-0115","AQS","13","31","9",".","56","39"
"01/03/2020","68","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","13","19","1",".","68","36"
"01/04/2020","59","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","8","28","1","13","59","28"
"01/05/2020","37","PM2.5","CCNY","36-061-0135","AQS","6","33","0",".","37","19"
"01/06/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","3","31","4",".","47","37"
"01/07/2020","72","PM2.5","RICHMOND POST OFFICE","36-085-0055","AQS","6","29","11",".","72","38"
"01/08/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","5","33","4",".","47","28"
"01/09/2020","43","PM2.5","Intermediate School 143","36-061-0115","AQS","5","30","4",".","43","40"
"01/10/2020","50","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32","3","17","50","41"
"01/11/2020","52","PM2.5","PS 274","36-047-0118","AQS","6","36","3",".","52","39"
"01/12/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","3","32","0",".","40","17"
"01/13/2020","51","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","5","21","0",".","51","27"
"01/14/2020","60","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","7","20","1",".","60","26"
"01/15/2020","62","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","6","28","3",".","62","40"
"01/16/2020","55","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","6","31","1","12","55","25"
"01/17/2020","37","PM2.5","Intermediate School 143","36-061-0115","AQS","3","37","3",".","37","18"
"01/18/2020","42","NO2","IS 52","36-005-0110","AQS","5","34","1",".","32","42"
"01/19/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","3","34","0",".","40","21"
"01/20/2020","39","Ozone","Chester","34-027-3001","AirNow","3","39","3",".","35","18"
"01/21/2020","45","PM2.5","NEWBURGH","36-071-0002","AQS","6","38","3",".","45","42"
"01/22/2020","61","NO2","IS 52","36-005-0110","AQS","11","33","4","24","56","61"
"01/23/2020","76","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","16","29","7",".","76","50"
"01/24/2020","82","PM2.5","Jersey City Firehouse","34-017-1003","AirNow","15","30","7",".","82","61"
"01/25/2020","50","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","6","36","11",".","50","31"
"01/26/2020","30","PM2.5","Elizabeth Lab","34-039-0004","AirNow","7","24","1",".","30","23"
"01/27/2020","35","PM2.5","Elizabeth Lab","34-039-0004","AirNow","9","26","4",".","35","25"
"01/28/2020","36","Ozone","Rockland County","36-087-0005","AQS","3","36","3","5","30","18"
"01/29/2020","37","Ozone","Chester","34-027-3001","AirNow","5","37","1",".","29","23"
"01/30/2020","42","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","5","33","3",".","40","42"
"01/31/2020","57","PM2.5","NEWBURGH","36-071-0002","AQS","8","33","1",".","57","43"
"02/01/2020","70","PM2.5","IS 52","36-005-0110","AQS","7","29","1",".","70","40"
"02/02/2020","57","PM2.5","IS 52","36-005-0110","AQS","8","28","0",".","57","28"
"02/03/2020","54","PM2.5","Newark Firehouse","34-013-0003","AirNow","9","34","3","19","54","49"
"02/04/2020","68","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","17","33","3",".","68","46"
"02/05/2020","33","Ozone","MT NINHAM","36-079-0005","AQS","13","33","19",".","31","23"
"02/06/2020","52","PM2.5","JHS 126","36-047-0122","AQS","6","29","3",".","52","22"
"02/07/2020","36","PM2.5","Elizabeth Lab","34-039-0004","AirNow","5","34","6",".","36","31"
"02/08/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","6","35","1",".","47","32"
"02/09/2020","54","PM2.5","Newark Firehouse","34-013-0003","AirNow","7","37","3","13","54","42"
"02/10/2020","45","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","10","35","3",".","45","32"
"02/11/2020","53","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","10","32","1",".","53","34"
"02/12/2020","45","PM2.5","IS 52","36-005-0110","AQS","6","36","3",".","45","28"
"02/13/2020","46","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","7","32","1",".","46","45"
"02/14/2020","34","PM2.5","Intermediate School 143","36-061-0115","AQS","5","34","3",".","34","15"
"02/15/2020","52","PM2.5","DIVISION STREET","36-061-0134","AQS","5","33","1","10","52","26"
"02/16/2020","52","PM2.5","IS 52","36-005-0110","AQS","9","32","3",".","52","46"
"02/17/2020","56","PM2.5","Newark Firehouse","34-013-0003","AirNow","13","38","3",".","56","31"
"02/18/2020","53","PM2.5","Newark Firehouse","34-013-0003","AirNow","7","35","7",".","53","32"
"02/19/2020","39","Ozone","Chester","34-027-3001","AirNow","7","39","3",".","35","30"
"02/20/2020","38","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","3","38","3",".","28","17"
"02/21/2020","41","PM2.5","DIVISION STREET","36-061-0134","AQS","7","39","1","7","41","29"
"02/22/2020","45","PM2.5","Flemington","34-019-0001","AirNow","8","40","3",".","45","42"
"02/23/2020","54","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","10","44","4",".","54","51"
"02/24/2020","74","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","11","44","6",".","74","60"
"02/25/2020","62","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","9","32","3",".","62","44"
"02/26/2020","54","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","5","40","0",".","54","30"
"02/27/2020","39","Ozone","MILLBROOK","36-027-0007","AQS","3","39","0","6","33","21"
"02/28/2020","39","Ozone","MT NINHAM","36-079-0005","AQS","3","39","1",".","36","22"
"02/29/2020","36","Ozone","MILLBROOK","36-027-0007","AQS","3","36","1",".","30","16"
"03/01/2020","42","NO2","IS 52","36-005-0110","AQS","5","41","3",".","32","42"
"03/02/2020","60","PM2.5","Newark Firehouse","34-013-0003","AirNow","7","47","1",".","60","48"
"03/03/2020","56","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","6","41","3",".","56","35"
"03/04/2020","39","Ozone","Chester","34-027-3001","AirNow","5","39","0","7","29","21"
"03/05/2020","37","Ozone","MILLBROOK","36-027-0007","AQS","3","37","3",".","34","26"
"03/06/2020","46","PM2.5","Flemington","34-019-0001","AirNow","6","40","3",".","46","39"
"03/07/2020","40","Ozone","Chester","34-027-3001","AirNow","3","40","1",".","23","17"
"03/08/2020","41","Ozone","MILLBROOK","36-027-0007","AQS","8","41","1",".","29","23"
"03/09/2020","50","PM2.5","Queens College Near Road","36-081-0125","AirNow","13","48","4",".","50","41"
"03/10/2020","64","Ozone","Leonia","34-003-0006","AirNow","5","64","1",".","48","35"
"03/11/2020","74","Ozone","Leonia","34-003-0006","AirNow","5","74","4",".","30","42"
"03/12/2020","56","NO2","IS 52","36-005-0110","AQS","9","36","1",".","52","56"
"03/13/2020","46","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","3","42","0",".","46","36"
"03/14/2020","39","Ozone","Colliers Mills","34-029-0006","AirNow","3","39","0",".","22","13"
"03/15/2020","41","Ozone","MILLBROOK","36-027-0007","AQS","3","41","1",".","23","20"
"03/16/2020","40","Ozone","Chester","34-027-3001","AirNow","3","40","1",".","25","21"
"03/17/2020","39","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","3","36","1",".","39","34"
"03/18/2020","42","Ozone","Monmouth University","34-025-0005","AirNow","5","42","4",".","36","25"
"03/19/2020","40","PM2.5","Elizabeth Lab","34-039-0004","AirNow","5","36","11",".","40","30"
"03/20/2020","61","PM2.5","Fort Lee Near Road","34-003-0010","AirNow","6","38","1",".","61","37"
"03/21/2020","41","Ozone","Leonia","34-003-0006","AirNow","3","41","1",".","28","10"
"03/22/2020","41","Ozone","MT NINHAM","36-079-0005","AQS","2","41","0",".","28","15"
"03/23/2020","38","Ozone","RIVERHEAD","36-103-0004","AQS","3","38","3",".","21","17"
"03/24/2020","39","Ozone","BABYLON","36-103-0002","AQS","3","39","6",".","25","23"
"03/25/2020","39","Ozone","RIVERHEAD","36-103-0004","AQS","3","39","1",".","32","14"
"03/26/2020","44","Ozone","MT NINHAM","36-079-0005","AQS","3","44","1",".","36","36"
"03/27/2020","45","NO2","IS 52","36-005-0110","AQS","5","44","4",".","30","45"
"03/28/2020","42","Ozone","RIVERHEAD","36-103-0004","AQS","3","42","1",".","39","16"
"03/29/2020","42","Ozone","RIVERHEAD","36-103-0004","AQS","3","42","1",".","23","9"
"03/30/2020","43","PM2.5","Newark Firehouse","34-013-0003","AirNow","5","37","1",".","43","27"
"03/31/2020","41","Ozone","RIVERHEAD","36-103-0004","AQS","3","41","3",".","23","17"
"04/01/2020","43","Ozone","MILLBROOK","36-027-0007","AirNow","2","43",".",".","27","."
"04/02/2020","41","Ozone","Flemington","34-019-0001","AirNow",".","41",".",".","13","."
"04/03/2020","36","Ozone","RIVERHEAD","36-103-0004","AirNow",".","36",".",".","13","."
"04/04/2020","40","Ozone","BABYLON","36-103-0002","AirNow",".","40",".",".","19","."
"04/05/2020","52","PM2.5","Jersey City Firehouse","34-017-1003","AirNow",".","41",".",".","52","."
"04/06/2020","43","Ozone","Chester","34-027-3001","AirNow",".","43",".",".","35","."
"04/07/2020","50","Ozone","Chester","34-027-3001","AirNow",".","50",".",".","35","."
"04/08/2020","46","PM2.5","Elizabeth Lab","34-039-0004","AirNow",".","44",".",".","46","."
"04/09/2020","43","Ozone","Chester","34-027-3001","AirNow",".","43",".",".","31","."
"04/10/2020","38","Ozone","RIVERHEAD","36-103-0004","AirNow",".","38",".",".","17","."
"04/11/2020","43","Ozone","Leonia","34-003-0006","AirNow",".","43",".",".","28","."
"04/12/2020","47","Ozone","Chester","34-027-3001","AirNow",".","47",".",".","44","."
"04/13/2020","45","Ozone","RIVERHEAD","36-103-0004","AirNow",".","45",".",".","28","."
"04/14/2020","43","Ozone","Chester","34-027-3001","AirNow",".","43",".",".","18","."
"04/15/2020","44","Ozone","HOLTSVILLE","36-103-0009","AirNow",".","44",".",".","28","."
"04/16/2020","40","Ozone","Monmouth University","34-025-0005","AirNow",".","40",".",".","30","."
"04/17/2020","44","Ozone","Monmouth University","34-025-0005","AirNow",".","44",".",".","35","."
"04/18/2020","44","Ozone","RIVERHEAD","36-103-0004","AirNow",".","44",".",".","43","."
"04/19/2020","50","Ozone","MILLBROOK","36-027-0007","AirNow",".","50",".",".","40","."
"04/20/2020","43","Ozone","Chester","34-027-3001","AirNow",".","43",".",".","26","."
"04/21/2020","41","Ozone","RIVERHEAD","36-103-0004","AirNow",".","41",".",".","38","."
"04/22/2020","40","Ozone","Colliers Mills","34-029-0006","AirNow",".","40",".",".","20","."
"04/23/2020","40","Ozone","Monmouth University","34-025-0005","AirNow",".","40",".",".","35","."
"04/24/2020","39","PM2.5","Elizabeth Lab","34-039-0004","AirNow",".","37",".",".","39","."
"04/25/2020","46","Ozone","HOLTSVILLE","36-103-0009","AirNow",".","46",".",".","44","."
"04/26/2020","41","Ozone","RIVERHEAD","36-103-0004","AirNow",".","41",".",".","26","."
"04/27/2020","38","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AirNow",".","38",".",".","14","."
"04/28/2020","44","Ozone","Flemington","34-019-0001","AirNow",".","44",".",".","24","."
"04/29/2020","46","PM2.5","Elizabeth Lab","34-039-0004","AirNow",".","43",".",".","46","."
"04/30/2020","47","Ozone","QUEENS COLLEGE 2","36-081-0124","AirNow",".","47",".",".","41","."
"05/01/2020","54","Ozone","RIVERHEAD","36-103-0004","AirNow",".","54",".",".","24","."
"05/02/2020","40","Ozone","Ramapo","34-031-5001","AirNow",".","40",".",".","23","."
"05/03/2020","50","Ozone","Ramapo","34-031-5001","AirNow",".","50",".",".","40","."
"05/04/2020","44","Ozone","Colliers Mills","34-029-0006","AirNow",".","44",".",".","31","."
"05/05/2020","44","Ozone","Newark Firehouse","34-013-0003","AirNow",".","44",".",".","15","."
"05/06/2020","39","Ozone","Colliers Mills","34-029-0006","AirNow",".","39",".",".","27","."
"05/07/2020","45","Ozone","Chester","34-027-3001","AirNow",".","45",".",".","24","."
"05/08/2020","40","Ozone","RIVERHEAD","36-103-0004","AirNow",".","40",".",".","22","."
"05/09/2020","31","Ozone","Chester","34-027-3001","AirNow",".","31",".",".","13","."
"05/10/2020","46","Ozone","Chester","34-027-3001","AirNow",".","46",".",".","29","."
"05/11/2020","39","Ozone","MT NINHAM","36-079-0005","AirNow",".","39",".",".","22","."
