,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
101,4/11/1900,4/11/2020,43,28,4/12/2019,46,51,4/12/2018,51,73,4/12/2017,54,63,4/11/2016,48,55,49.75,2.878493847,3.429936973,4.507701281,60.5,7.987849093,9.518109258,12.50891595,11-Apr, 
102,4/12/1900,4/12/2020,47,44,4/13/2019,47,53,4/13/2018,97,66,4/13/2017,48,26,4/12/2016,47,37,59.75,20.42727863,24.34060379,31.98897582,45.5,14.47253108,17.24508443,22.66388269,12-Apr, 
103,4/13/1900,4/13/2020,45,28,4/14/2019,44,54,4/14/2018,97,71,4/14/2017,61,41,4/13/2016,43,35,61.25,20.74489107,24.71906235,32.48635468,50.25,13.11377542,15.62602721,20.53608081,13-Apr, 
104,4/14/1900,4/14/2020,43,18,4/15/2019,45,43,4/15/2018,43,42,4/15/2017,51,37,4/14/2016,47,44,46.5,2.809122355,3.347275742,4.399066009,41.5,2.557028878,3.046887836,4.004289382,14-Apr, 
105,4/15/1900,4/15/2020,44,28,4/16/2019,49,27,4/16/2018,43,36,4/16/2017,71,57,4/15/2016,46,50,52.25,10.47585826,12.48275504,16.40512095,42.5,11.12558372,13.25695067,17.42258648,15-Apr,15-Apr
106,4/16/1900,4/16/2020,40,30,4/17/2019,47,31,4/17/2018,34,24,4/17/2017,51,25,4/16/2016,48,48,45,6.19100414,7.377036439,9.695069289,32,9.133505525,10.8832431,14.30300593,16-Apr, 
107,4/17/1900,4/17/2020,44,35,4/18/2019,58,53,4/18/2018,37,34,4/18/2017,54,29,4/17/2016,61,59,52.5,8.819545017,10.50913608,13.81134596,43.75,11.9251888,14.20973889,18.67476245,17-Apr, 
108,4/18/1900,4/18/2020,44,43,4/19/2019,45,56,4/19/2018,43,39,4/19/2017,43,35,4/18/2016,84,65,53.75,16.60372262,19.78455579,26.00131378,48.75,11.63813856,13.86769744,18.22524379,18-Apr, 
109,4/19/1900,4/19/2020,50,40,4/20/2019,45,52,4/20/2018,43,23,4/20/2017,39,56,4/19/2016,54,40,45.25,5.217713197,6.217288749,8.170902462,42.75,12.18700384,14.52171075,19.08476298,19-Apr, 
110,4/20/1900,4/20/2020,43,26,4/21/2019,44,44,4/21/2018,50,31,4/21/2017,41,52,4/20/2016,50,27,46.25,3.700920661,4.409918965,5.795615933,38.5,9.508430142,11.32999333,14.89013526,20-Apr, 
111,4/21/1900,4/21/2020,41,38,4/22/2019,41,38,4/22/2018,54,33,4/22/2017,34,40,4/21/2016,77,52,51.5,15.55379945,18.53349516,24.35714141,40.75,6.626365191,7.895801127,10.37684166,21-Apr, 
112,4/22/1900,4/22/2020,40,20,4/23/2019,61,43,4/23/2018,67,60,4/23/2017,42,21,4/22/2016,100,85,67.5,19.85781857,23.66205027,31.09720533,52.25,22.24483366,26.50635419,34.83525431,22-Apr, 
113,4/23/1900,4/23/2020,40,35,4/24/2019,44,29,4/24/2018,67,55,4/24/2017,43,45,4/23/2016,41,43,48.75,10.05863073,11.98559777,15.75174554,43,8.806753792,10.49389439,13.79131499,23-Apr, 
114,4/24/1900,4/24/2020,37,39,4/25/2019,44,43,4/25/2018,49,48,4/25/2017,39,27,4/24/2016,49,35,45.25,3.937068627,4.691306623,6.165422,38.25,7.578682795,9.030557544,11.86816438,24-Apr, 
115,4/25/1900,4/25/2020,46,44,4/26/2019,44,45,4/26/2018,48,66,4/26/2017,32,40,4/25/2016,71,55,48.75,13.4196772,15.99053166,21.01512087,51.5,9.460887693,11.27334301,14.81568412,25-Apr, 
116,4/26/1900,4/26/2020,41,26,4/27/2019,47,28,4/27/2018,46,53,4/27/2017,40,52,4/26/2016,51,62,46,3.738802105,4.45505749,5.85493801,48.75,11.96294176,14.25472432,18.73388333,26-Apr, 
117,4/27/1900,4/27/2020,38,14,4/28/2019,36,35,4/28/2018,74,65,4/28/2017,90,61,4/27/2016,44,41,61,20.82759709,24.81761265,32.61587172,50.5,12.11510348,14.43603619,18.97216753,27-Apr, 
118,4/28/1900,4/28/2020,44,24,4/29/2019,44,34,4/29/2018,42,32,4/29/2017,51,45,4/28/2016,46,39,45.75,3.176385125,3.784896324,4.974196944,37.5,4.77196578,5.686147941,7.472865117,28-Apr, 
119,4/29/1900,4/29/2020,43,46,4/30/2019,46,62,4/30/2018,41,33,4/30/2017,43,38,4/29/2016,48,43,44.5,2.557028878,3.046887836,4.004289382,44,10.42461808,12.42169859,16.32487918,29-Apr, 
120,4/30/1900,4/30/2020,47,41,5/1/2019,41,46,5/1/2018,112,53,5/1/2017,31,55,4/30/2016,49,33,58.25,30.08609948,35.8497987,47.11462187,46.75,8.179598707,9.746593016,12.8091945,30-Apr, 
121,5/1/1900,5/1/2020,54,24,5/2/2019,45,62,5/2/2018,119,63,5/2/2017,49,41,5/1/2016,43,23,64,30.22535094,36.01572705,47.33268869,47.25,15.69629099,18.70328431,24.58028217,1-May,1-May
122,5/2/1900,5/2/2020,40,23,5/3/2019,39,67,5/3/2018,93,61,5/3/2017,44,20,5/2/2016,34,53,52.5,22.45792493,26.76026809,35.16895375,50.25,17.24320018,20.5465403,27.00273118,2-May, 
123,5/3/1900,5/3/2020,50,40,5/4/2019,35,81,5/4/2018,74,60,5/4/2017,48,40,5/3/2016,30,48,46.75,16.19122872,19.29303899,25.35535122,57.25,14.67173477,17.48245027,22.97583428,3-May, 
124,5/4/1900,5/4/2020,44,31,5/5/2019,35,40,5/5/2018,61,88,5/5/2017,40,33,5/4/2016,31,39,41.75,10.980245,13.0837689,17.19498705,50,20.98934632,25.01034875,32.8691699,4-May, 
125,5/5/1900,5/5/2020,44,15,5/6/2019,44,68,5/6/2018,48,48,5/6/2017,41,40,5/5/2016,32,23,41.25,5.593107025,6.664598083,8.758766577,44.75,15.36236638,18.3053886,24.05735857,5-May, 
126,5/6/1900,5/6/2020,39,27,5/7/2019,54,43,5/7/2018,51,48,5/7/2017,36,20,5/6/2016,29,28,42.5,9.834794278,11.71888019,15.40121922,34.75,10.68891227,12.73662454,16.73876203,6-May, 
127,5/7/1900,5/7/2020,45,24,5/8/2019,42,43,5/8/2018,71,52,5/8/2017,38,31,5/7/2016,31,41,45.5,14.47253108,17.24508443,22.66388269,41.75,7.086723528,8.444351921,11.0977596,7-May, 
128,5/8/1900,5/8/2020,40,22,5/9/2019,41,51,5/9/2018,90,56,5/9/2017,48,40,5/8/2016,39,35,54.5,19.72110219,23.49914265,30.88310843,45.5,7.959573432,9.484416731,12.46463646,8-May, 
129,5/9/1900,5/9/2020,31,13,5/10/2019,42,54,5/10/2018,48,49,5/10/2017,44,54,5/9/2016,48,55,45.5,2.46728044,2.939945977,3.863743955,53,2.227142339,2.65380378,3.487689364,9-May, 
130,5/10/1900,5/10/2020,46,29,5/11/2019,43,52,5/11/2018,54,40,5/11/2017,40,55,5/10/2016,46,37,45.75,4.951665129,5.900272923,7.754273044,46,7.263476947,8.654966609,11.37455422,10-May, 
131,5/11/1900,5/11/2020,39,22,5/12/2019,40,25,5/12/2018,46,39,5/12/2017,39,35,5/11/2016,51,48,44,4.60363158,5.48556537,7.209254934,36.75,7.841858714,9.344150993,12.28029603,11-May,11-May
