Week,Date,Average of Queens Carbon Monoxide AQI Value,Average of Bronx Carbon Monoxide AQI Value,Average of cluster 1 Carbon Monoxide AQI Value
6,2/2/2018 - 2/8/2018,6,6.86,6.43
7,2/9/2018 - 2/15/2018,7.14,8,7.57
8,2/16/2018 - 2/22/2018,6.71,7.14,6.925
9,2/23/2018 - 3/1/2018,6.57,5.86,6.215
10,3/2/2018 - 3/8/2018,4.29,3.29,3.79
11,3/9/2018 - 3/15/2018,3.57,3.57,3.57
12,3/16/2018 - 3/22/2018,4.43,4,4.215
13,3/23/2018 - 3/29/2018,5.43,5.14,5.285
14,3/30/2018 - 4/5/2018,4.29,5.29,4.79
15,4/6/2018 - 4/12/2018,4.43,5.14,4.785
16,4/13/2018 - 4/19/2018,3.71,4.29,4
17,4/20/2018 - 4/26/2018,4.71,4.71,4.71
18,4/27/2018 - 5/3/2018,5.14,4.57,4.855
19,5/4/2018 - 5/10/2018,5,4.71,4.855
20,5/11/2018 - 5/17/2018,5.29,4.86,5.075
21,5/18/2018 - 5/24/2018,5.57,5.29,5.43
22,5/25/2018 - 5/31/2018,4.57,5.57,5.07
23,6/1/2018 - 6/7/2018,3.86,4.14,4
24,6/8/2018 - 6/14/2018,4,5.29,4.645
25,6/15/2018 - 6/21/2018,4.57,4.57,4.57
26,6/22/2018 - 6/28/2018,4.14,3.57,3.855
27,6/29/2018 - 7/5/2018,4.43,5.14,4.785
28,7/6/2018 - 7/12/2018,3.86,2.86,3.36
29,7/13/2018 - 7/19/2018,4.14,3.71,3.925
30,7/20/2018 - 7/26/2018,2.57,2.71,2.64
31,7/27/2018 - 8/2/2018,4.29,4.57,4.43
32,8/3/2018 - 8/9/2018,3.71,5,4.355
33,8/10/2018 - 8/16/2018,4.71,4.86,4.785
34,8/17/2018 - 8/23/2018,3.29,3.14,3.215
35,8/24/2018 - 8/30/2018,4.71,5.14,4.925
36,8/31/2018 - 9/6/2018,3.14,4.14,3.64
37,9/7/2018 - 9/13/2018,4.71,4,4.355
38,9/14/2018 - 9/20/2018,5,5,5
39,9/21/2018 - 9/27/2018,2.43,3.29,2.86
40,9/28/2018 - 10/4/2018,5.71,5.86,5.785
41,10/5/2018 - 10/11/2018,5,6,5.5
42,10/12/2018 - 10/18/2018,5.14,3.43,4.285
43,10/19/2018 - 10/25/2018,5.14,3,4.07
44,10/26/2018 - 11/1/2018,6.71,4.86,5.785
45,11/2/2018 - 11/8/2018,5.71,4.86,5.285
46,11/9/2018 - 11/15/2018,5.29,4,4.645
47,11/16/2018 - 11/22/2018,6,4.57,5.285
48,11/23/2018 - 11/29/2018,5.14,4.71,4.925
49,11/30/2018 - 12/6/2018,7.43,6.29,6.86
50,12/7/2018 - 12/13/2018,7,5.43,6.215
51,12/14/2018 - 12/20/2018,7,6.71,6.855
52,12/21/2018 - 12/27/2018,5.71,4,4.855
1,12/28/2018 - 1/3/2019,8,6,7
2,1/4/2019 - 1/10/2019,6.29,5.86,6.075
3,1/11/2019 - 1/17/2019,6.43,3.86,5.145
4,1/18/2019 - 1/24/2019,5.14,5,5.07
5,1/25/2019 - 1/31/2019,5.43,4.29,4.86
6,2/1/2019 - 2/7/2019,9.29,8,8.645
7,2/8/2019 - 2/14/2019,5.57,4.14,4.855
8,2/15/2019 - 2/21/2019,5.71,4.14,4.925
9,2/22/2019 - 2/28/2019,4.86,3.29,4.075
10,3/1/2019 - 3/7/2019,5.43,3.57,4.5
11,3/8/2019 - 3/14/2019,5.43,4.86,5.145
12,3/15/2019 - 3/21/2019,4.71,4.57,4.64
13,3/22/2019 - 3/28/2019,4.57,2.86,3.715
14,3/29/2019 - 4/4/2019,6.71,5,5.855
15,4/5/2019 - 4/11/2019,5.86,3.57,4.715
16,4/12/2019 - 4/18/2019,3.29,4.14,3.715
17,4/19/2019 - 4/25/2019,4,2.71,3.355
18,4/26/2019 - 5/2/2019,5,3.43,4.215
19,5/3/2019 - 5/9/2019,4.86,3.43,4.145
20,5/10/2019 - 5/16/2019,3.29,3.14,3.215
21,5/17/2019 - 5/23/2019,3.29,3.43,3.36
22,5/24/2019 - 5/30/2019,4.43,3.86,4.145
23,5/31/2019 - 6/6/2019,4.29,3.29,3.79
24,6/7/2019 - 6/13/2019,4.14,3.14,3.64
25,6/14/2019 - 6/20/2019,4.14,3.43,3.785
26,6/21/2019 - 6/27/2019,4.57,3.57,4.07
27,6/28/2019 - 7/4/2019,4.43,3.86,4.145
28,7/5/2019 - 7/11/2019,4.29,3.71,4
29,7/12/2019 - 7/18/2019,4.43,3.43,3.93
30,7/19/2019 - 7/25/2019,3.43,3.43,3.43
31,7/26/2019 - 8/1/2019,4.86,5.43,5.145
32,8/2/2019 - 8/8/2019,4.43,4.86,4.645
33,8/9/2019 - 8/15/2019,5.57,4.43,5
34,8/16/2019 - 8/22/2019,3.71,3.57,3.64
35,8/23/2019 - 8/29/2019,5.43,2.57,4
36,8/30/2019 - 9/5/2019,5,2.71,3.855
37,9/6/2019 - 9/12/2019,5,3.57,4.285
38,9/13/2019 - 9/19/2019,5.14,3.71,4.425
39,9/20/2019 - 9/26/2019,5,4.71,4.855
40,9/27/2019 - 10/3/2019,4.29,3.71,4
41,10/4/2019 - 10/10/2019,3.29,2.14,2.715
42,10/11/2019 - 10/17/2019,3.57,4.86,4.215
43,10/18/2019 - 10/24/2019,7.29,6.86,7.075
44,10/25/2019 - 10/31/2019,5.86,3.57,4.715
45,11/1/2019 - 11/7/2019,4.86,4.57,4.715
46,11/8/2019 - 11/14/2019,4.86,5,4.93
47,11/15/2019 - 11/21/2019,5.29,4.14,4.715
48,11/22/2019 - 11/28/2019,5.86,6.57,6.215
49,11/29/2019 - 12/5/2019,4.43,3.43,3.93
50,12/6/2019 - 12/12/2019,5,3.86,4.43
51,12/13/2019 - 12/19/2019,5.71,3.43,4.57
52,12/20/2019 - 12/26/2019,8.29,7.86,8.075
1,12/27/2019 - 1/2/2020,5.14,4.29,4.715
2,1/3/2020 - 1/9/2020,5.57,4.57,5.07
3,1/10/2020 - 1/16/2020,5.57,5,5.285
4,1/17/2020 - 1/23/2020,5.29,5.29,5.29
5,1/24/2020 - 1/30/2020,5.86,5,5.43
6,1/31/2020 - 2/6/2020,8.29,6.14,7.215
7,2/7/2020 - 2/13/2020,5.43,4.43,4.93
8,2/14/2020 - 2/20/2020,6.71,4,5.355
9,2/21/2020 - 2/27/2020,4.57,5,4.785
10,2/28/2020 - 3/5/2020,3.86,3.43,3.645
11,3/6/2020 - 3/12/2020,5.14,4,4.57
12,3/13/2020 - 3/19/2020,3.57,2.43,3
13,3/20/2020 - 3/26/2020,3.14,2.86,3
14,3/27/2020 - 4/2/2020,3.17,2.67,2.92
