"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2017","59","PM2.5","Intermediate School 143","36-061-0115","AQS","11","34","4","11","59","44"
"01/02/2017","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","33","17",".","60","43"
"01/03/2017","43","PM2.5","PS 19","36-061-0128","AQS","7","32","1",".","43","42"
"01/04/2017","46","PM2.5","PS 19","36-061-0128","AQS","6","32","3","7","46","27"
"01/05/2017","49","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","6","32","3",".","49","28"
"01/06/2017","53","PM2.5","Intermediate School 143","36-061-0115","AQS","5","31","3",".","53","28"
"01/07/2017","53","PM2.5","PS 19","36-061-0128","AQS","6","32","3","16","53","24"
"01/08/2017","54","PM2.5","Intermediate School 143","36-061-0115","AQS","5","33","3",".","54","22"
"01/09/2017","62","NO2","Fort Lee Near Road","34-003-0010","AQS","8","30","6",".","52","62"
"01/10/2017","57","PM2.5","Newark Firehouse","34-013-0003","AQS","11","36","4","24","57","57"
"01/11/2017","54","PM2.5","PS 19","36-061-0128","AQS","10","34","3",".","54","42"
"01/12/2017","56","PM2.5","Intermediate School 143","36-061-0115","AQS","9","31","4",".","56","41"
"01/13/2017","44","PM2.5","PS 19","36-061-0128","AQS","6","40","3","13","44","25"
"01/14/2017","44","PM2.5","PS 19","36-061-0128","AQS","8","31","3",".","44","42"
"01/15/2017","58","PM2.5","Flemington","34-019-0001","AQS","6","36","3",".","58","38"
"01/16/2017","62","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","31","7","21","62","47"
"01/17/2017","81","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","24","6",".","81","45"
"01/18/2017","53","PM2.5","PS 19","36-061-0128","AQS","9","31","1",".","53","44"
"01/19/2017","49","PM2.5","MORRISANIA","36-005-0080","AQS","10","24","3","11","49","36"
"01/20/2017","56","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","10","23","7",".","56","37"
"01/21/2017","64","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","9","13","1",".","64","31"
"01/22/2017","67","PM2.5","Jersey City Firehouse","34-017-1003","AQS","13","26","3","19","67","35"
"01/23/2017","36","Ozone","HOLTSVILLE","36-103-0009","AQS","8","36","0",".","34","26"
"01/24/2017","36","Ozone","HOLTSVILLE","36-103-0009","AQS","3","36","1",".","30","30"
"01/25/2017","44","NO2","IS 52","36-005-0110","AQS","8","32","3","10","38","44"
"01/26/2017","63","PM2.5","NEWBURGH","36-071-0002","AQS","10","35","6",".","63","47"
"01/27/2017","38","PM2.5","Intermediate School 143","36-061-0115","AQS","6","30","1",".","38","23"
"01/28/2017","36","PM2.5","Newark Firehouse","34-013-0003","AQS","6","28","1",".","36","29"
"01/29/2017","52","PM2.5","HOLTSVILLE","36-103-0009","AQS","7","32","3",".","52","38"
"01/30/2017","42","NO2","Elizabeth Lab","34-039-0004","AQS","5","38","3",".","41","42"
"01/31/2017","63","NO2","Fort Lee Near Road","34-003-0010","AQS","11","31","13","15","56","63"
"02/01/2017","55","NO2","IS 52","36-005-0110","AQS","10","37","4","18","52","55"
"02/02/2017","45","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","36","4",".","45","42"
"02/03/2017","45","PM2.5","MORRISANIA","36-005-0080","AQS","5","38","3","8","45","36"
"02/04/2017","85","PM2.5","Toms River","34-029-2002","AQS","6","40","1",".","85","31"
"02/05/2017","61","PM2.5","Flemington","34-019-0001","AQS","7","33","3",".","61","35"
"02/06/2017","89","PM2.5","Toms River","34-029-2002","AQS","8","39","3","22","89","49"
"02/07/2017","85","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","30","9",".","85","53"
"02/08/2017","63","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","32","6",".","63","54"
"02/09/2017","38","Ozone","Flemington","34-019-0001","AQS","5","38","1","5","34","30"
"02/10/2017","40","NO2","Fort Lee Near Road","34-003-0010","AQS","5","38","1",".","38","40"
"02/11/2017","62","PM2.5","Intermediate School 143","36-061-0115","AQS","15","34","6",".","62","55"
"02/12/2017","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","17","31","3","16","57","47"
"02/13/2017","58","PM2.5","NEWBURGH","36-071-0002","AQS","7","35","3",".","58","28"
"02/14/2017","78","PM2.5","NEWBURGH","36-071-0002","AQS","7","39","6",".","78","50"
"02/15/2017","63","NO2","Bayonne","34-017-0006","AQS","10","39","7","17","62","63"
"02/16/2017","41","PM2.5","PS 19","36-061-0128","AQS","3","34","3",".","41","21"
"02/17/2017","66","PM2.5","NEWBURGH","36-071-0002","AQS","5","42","3",".","66","47"
"02/18/2017","82","PM2.5","NEWBURGH","36-071-0002","AQS","10","51","4","26","82","56"
"02/19/2017","60","PM2.5","PS 19","36-061-0128","AQS","8","47","4",".","60","56"
"02/20/2017","55","PM2.5","NEWBURGH","36-071-0002","AQS","8","44","3",".","55","25"
"02/21/2017","75","PM2.5","NEWBURGH","36-071-0002","AQS","7","44","3",".","75","51"
"02/22/2017","62","PM2.5","Rahway","34-039-2003","AQS","9","37","3",".","62","55"
"02/23/2017","79","PM2.5","Jersey City Firehouse","34-017-1003","AQS","14","41","6",".","79","60"
"02/24/2017","51","NO2","IS 52","36-005-0110","AQS","13","44","3","25","49","51"
"02/25/2017","40","Ozone","Flemington","34-019-0001","AQS","6","40","1",".","32","34"
"02/26/2017","38","PM2.5","PS 19","36-061-0128","AQS","3","36","3",".","38","24"
"02/27/2017","53","PM2.5","PS 19","36-061-0128","AQS","5","41","6","12","53","46"
"02/28/2017","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","43","4",".","57","53"
"03/01/2017","52","PM2.5","Intermediate School 143","36-061-0115","AQS","8","38","1",".","52","42"
"03/02/2017","44","Ozone","Leonia","34-003-0006","AQS","2","44","1","19","41","21"
"03/03/2017","55","PM2.5","PS 19","36-061-0128","AQS","3","40","1",".","55","26"
"03/04/2017","54","PM2.5","PS 19","36-061-0128","AQS","2","40","3",".","54","15"
"03/05/2017","48","PM2.5","PS 19","36-061-0128","AQS","5","40","3","5","48","41"
"03/06/2017","60","PM2.5","Flemington","34-019-0001","AQS","10","42","4",".","60","48"
"03/07/2017","66","PM2.5","Newark Firehouse","34-013-0003","AQS","15","47","3",".","66","51"
"03/08/2017","54","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","13","47","1","13","54","40"
"03/09/2017","52","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","3","50","1",".","52","23"
"03/10/2017","41","Ozone","Ramapo","34-031-5001","AQS","5","41","1",".","35","32"
"03/11/2017","40","Ozone","Chester","34-027-3001","AQS","3","40","3","5","30","12"
"03/12/2017","45","PM2.5","NEWBURGH","36-071-0002","AQS","3","38","3",".","45","15"
"03/13/2017","40","Ozone","Colliers Mills","34-029-0006","AQS","6","40","14",".","39","39"
"03/14/2017","75","PM2.5","PS 19","36-061-0128","AQS","5","40","3","6","75","25"
"03/15/2017","42","Ozone","MT NINHAM","36-079-0005","AQS","5","42","1",".","33","21"
"03/16/2017","48","Ozone","Chester","34-027-3001","AQS","5","48","1",".","41","34"
"03/17/2017","51","Ozone","Flemington","34-019-0001","AQS","6","51","3","13","45","51"
"03/18/2017","78","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","13","48","4",".","73","78"
"03/19/2017","51","Ozone","Leonia","34-003-0006","AQS","6","51","3",".","32","42"
"03/20/2017","67","Ozone","Flemington","34-019-0001","AQS","7","67","3","12","39","60"
"03/21/2017","60","NO2","Fort Lee Near Road","34-003-0010","AQS","7","58","4","21","53","60"
"03/22/2017","45","PM2.5","NEWBURGH","36-071-0002","AQS","5","44","3",".","45","43"
"03/23/2017","50","NO2","Fort Lee Near Road","34-003-0010","AQS","6","44","7","7","39","50"
"03/24/2017","55","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","7","48","3",".","52","55"
"03/25/2017","68","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","37","6",".","68","53"
"03/26/2017","57","PM2.5","PS 19","36-061-0128","AQS","7","41","0","13","57","25"
"03/27/2017","65","PM2.5","PS 19","36-061-0128","AQS","10","37","1",".","65","52"
"03/28/2017","67","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","37","1",".","67","41"
"03/29/2017","46","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","5","46","1","4","24","36"
"03/30/2017","46","NO2","Fort Lee Near Road","34-003-0010","AQS","7","44","4",".","35","46"
"03/31/2017","44","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","8","44","0",".","27","42"
"04/01/2017","42","Ozone","RIVERHEAD","36-103-0004","AQS","5","42","1","6","22","25"
"04/02/2017","45","Ozone","Leonia","34-003-0006","AQS","5","45","1",".","27","36"
"04/03/2017","69","NO2","Newark Firehouse","34-013-0003","AQS","13","49","9",".","55","69"
"04/04/2017","56","NO2","Elizabeth Lab","34-039-0004","AQS","7","44","1","12","55","56"
"04/05/2017","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","43","9",".","60","42"
"04/06/2017","50","PM2.5","PS 19","36-061-0128","AQS","7","42","1",".","50","45"
"04/07/2017","39","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","7","39","3","5","30","26"
"04/08/2017","45","Ozone","Colliers Mills","34-029-0006","AQS","5","45","1","6","21","20"
"04/09/2017","61","Ozone","Chester","34-027-3001","AQS","5","61","3",".","32","47"
"04/10/2017","97","Ozone","Chester","34-027-3001","AQS","7","97","6","16","55","57"
"04/11/2017","122","Ozone","Flemington","34-019-0001","AQS","7","122","4",".","63","56"
"04/12/2017","78","NO2","Elizabeth Lab","34-039-0004","AQS","10","54","6",".","63","78"
"04/13/2017","48","Ozone","Flemington","34-019-0001","AQS","5","48","1","10","26","33"
"04/14/2017","61","Ozone","SUSAN WAGNER HS","36-085-0067","AQS","7","61","3",".","41","43"
"04/15/2017","56","NO2","IS 52","36-005-0110","AQS","6","51","1",".","37","56"
"04/16/2017","71","Ozone","Colliers Mills","34-029-0006","AQS","5","71","3","14","57","26"
