"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/10/2016","27","","PFIZER LAB SITE","36-005-0133","AQS"
"04/11/2016","32","","IS 52","36-005-0110","AQS"
"04/12/2016","43","","IS 52","36-005-0110","AQS"
"04/13/2016","43","","IS 52","36-005-0110","AQS"
"04/14/2016","43","","IS 52","36-005-0110","AQS"
"04/15/2016","38","","IS 52","36-005-0110","AQS"
"04/16/2016","32","","IS 52","36-005-0110","AQS"
"04/17/2016","34","","IS 52","36-005-0110","AQS"
"04/18/2016","51","","IS 52","36-005-0110","AQS"
"04/19/2016","40","","IS 52","36-005-0110","AQS"
"04/20/2016","41","","IS 52","36-005-0110","AQS"
"04/21/2016","53","","PFIZER LAB SITE","36-005-0133","AQS"
"04/22/2016","47","","IS 52","36-005-0110","AQS"
"04/23/2016","20","","PFIZER LAB SITE","36-005-0133","AQS"
"04/24/2016","30","","IS 52","36-005-0110","AQS"
"04/25/2016","39","","IS 52","36-005-0110","AQS"
"04/26/2016","18","","IS 52","36-005-0110","AQS"
"04/27/2016","27","","IS 52","36-005-0110","AQS"
"04/28/2016","25","","IS 52","36-005-0110","AQS"
"04/29/2016","19","","PFIZER LAB SITE","36-005-0133","AQS"
"04/30/2016","21","","PFIZER LAB SITE","36-005-0133","AQS"
"05/01/2016","18","","PFIZER LAB SITE","36-005-0133","AQS"
"05/02/2016","45","","IS 52","36-005-0110","AQS"
"05/03/2016","35","","PFIZER LAB SITE","36-005-0133","AQS"
"05/04/2016","22","","IS 52","36-005-0110","AQS"
"05/05/2016","19","","IS 52","36-005-0110","AQS"
"05/06/2016","19","","IS 52","36-005-0110","AQS"
"05/07/2016","28","","IS 52","36-005-0110","AQS"
"05/08/2016","29","","PFIZER LAB SITE","36-005-0133","AQS"
"05/09/2016","33","","IS 52","36-005-0110","AQS"
"05/10/2016","26","","IS 52","36-005-0110","AQS"
"05/11/2016","55","","PFIZER LAB SITE","36-005-0133","AQS"
"05/12/2016","54","","IS 52","36-005-0110","AQS"
"05/13/2016","52","","IS 52","36-005-0110","AQS"
"05/14/2016","19","","PFIZER LAB SITE","36-005-0133","AQS"
"05/15/2016","10","","IS 52","36-005-0110","AQS"
"05/16/2016","23","","PFIZER LAB SITE","36-005-0133","AQS"
"05/17/2016","36","","IS 52","36-005-0110","AQS"
