"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"12/11/2018","58","","IS 52","36-005-0110","AQS"
"12/12/2018","64","","IS 52","36-005-0110","AQS"
"12/13/2018","47","","IS 52","36-005-0110","AQS"
"12/14/2018","48","","IS 52","36-005-0110","AQS"
"12/15/2018","49","","IS 52","36-005-0110","AQS"
"12/16/2018","27","","IS 52","36-005-0110","AQS"
"12/17/2018","21","","IS 74","36-005-0112","AQS"
"12/18/2018","23","","MORRISANIA","36-005-0080","AQS"
"12/19/2018","43","","IS 74","36-005-0112","AQS"
"12/20/2018","62","","IS 52","36-005-0110","AQS"
"12/21/2018","27","","IS 52","36-005-0110","AQS"
"12/22/2018","33","","IS 74","36-005-0112","AQS"
"12/23/2018","31","","MORRISANIA","36-005-0080","AQS"
"12/24/2018","48","","IS 52","36-005-0110","AQS"
"12/25/2018","27","","MORRISANIA","36-005-0080","AQS"
"12/26/2018","41","","MORRISANIA","36-005-0080","AQS"
"12/27/2018","48","","IS 52","36-005-0110","AQS"
"12/28/2018","46","","MORRISANIA","36-005-0080","AQS"
"12/29/2018","24","","MORRISANIA","36-005-0080","AQS"
"12/30/2018","37","","MORRISANIA","36-005-0080","AQS"
"12/31/2018","54","","IS 52","36-005-0110","AQS"
"01/01/2019","38","","MORRISANIA","36-005-0080","AQS"
"01/02/2019","40","","MORRISANIA","36-005-0080","AQS"
"01/03/2019","39","","MORRISANIA","36-005-0080","AQS"
"01/04/2019","55","","IS 52","36-005-0110","AQS"
"01/05/2019","38","","MORRISANIA","36-005-0080","AQS"
"01/06/2019","42","","MORRISANIA","36-005-0080","AQS"
"01/07/2019","29","","MORRISANIA","36-005-0080","AQS"
"01/08/2019","63","","IS 52","36-005-0110","AQS"
"01/09/2019","27","","IS 74","36-005-0112","AQS"
"01/10/2019","30","","MORRISANIA","36-005-0080","AQS"
"01/11/2019","45","","IS 74","36-005-0112","AQS"
"01/12/2019","35","","MORRISANIA","36-005-0080","AQS"
"01/13/2019","31","","MORRISANIA","36-005-0080","AQS"
"01/14/2019","36","","IS 74","36-005-0112","AQS"
"01/15/2019","53","","IS 52","36-005-0110","AQS"
"01/16/2019","56","","IS 52","36-005-0110","AQS"
"01/17/2019","31","","IS 74","36-005-0112","AQS"
"01/18/2019","57","","IS 52","36-005-0110","AQS"
"01/19/2019","48","","IS 52","36-005-0110","AQS"
"01/20/2019","25","","MORRISANIA","36-005-0080","AQS"
"01/21/2019","36","","MORRISANIA","36-005-0080","AQS"
"01/22/2019","39","","MORRISANIA","36-005-0080","AQS"
"01/23/2019","44","","MORRISANIA","36-005-0080","AQS"
"01/24/2019","29","","IS 74","36-005-0112","AQS"
"01/25/2019","38","","IS 74","36-005-0112","AQS"
"01/26/2019","39","","MORRISANIA","36-005-0080","AQS"
"01/27/2019","45","","MORRISANIA","36-005-0080","AQS"
"01/28/2019","39","","IS 74","36-005-0112","AQS"
"01/29/2019","48","","MORRISANIA","36-005-0080","AQS"
"01/30/2019","45","","IS 74","36-005-0112","AQS"
"01/31/2019","38","","IS 74","36-005-0112","AQS"
"02/01/2019","43","","MORRISANIA","36-005-0080","AQS"
"02/02/2019","66","","IS 52","36-005-0110","AQS"
"02/03/2019","91","","IS 52","36-005-0110","AQS"
"02/04/2019","83","","IS 52","36-005-0110","AQS"
"02/05/2019","74","","IS 52","36-005-0110","AQS"
"02/06/2019","28","","IS 52","36-005-0110","AQS"
"02/07/2019","29","","IS 52","36-005-0110","AQS"
"02/08/2019","30","","IS 52","36-005-0110","AQS"
"02/09/2019","24","","MORRISANIA","36-005-0080","AQS"
"02/10/2019","30","","IS 52","36-005-0110","AQS"
"02/11/2019","49","","IS 52","36-005-0110","AQS"
"02/12/2019","21","","IS 52","36-005-0110","AQS"
"02/13/2019","30","","IS 52","36-005-0110","AQS"
"02/14/2019","42","","IS 52","36-005-0110","AQS"
"02/15/2019","49","","MORRISANIA","36-005-0080","AQS"
"02/16/2019","31","","IS 52","36-005-0110","AQS"
"02/17/2019","25","","MORRISANIA","36-005-0080","AQS"
"02/18/2019","30","","IS 52","36-005-0110","AQS"
"02/19/2019","21","","MORRISANIA","36-005-0080","AQS"
"02/20/2019","33","","IS 52","36-005-0110","AQS"
"02/21/2019","35","","IS 52","36-005-0110","AQS"
"02/22/2019","52","","IS 52","36-005-0110","AQS"
"02/23/2019","43","","IS 52","36-005-0110","AQS"
"02/24/2019","36","","IS 52","36-005-0110","AQS"
"02/25/2019","30","","IS 74","36-005-0112","AQS"
"02/26/2019","33","","MORRISANIA","36-005-0080","AQS"
"02/27/2019","30","","MORRISANIA","36-005-0080","AQS"
"02/28/2019","32","","MORRISANIA","36-005-0080","AQS"
"03/01/2019","38","","IS 52","36-005-0110","AQS"
"03/02/2019","48","","IS 52","36-005-0110","AQS"
"03/03/2019","54","","IS 52","36-005-0110","AQS"
"03/04/2019","32","","IS 52","36-005-0110","AQS"
"03/05/2019","39","","IS 52","36-005-0110","AQS"
"03/06/2019","38","","MORRISANIA","36-005-0080","AQS"
"03/07/2019","48","","IS 52","36-005-0110","AQS"
"03/08/2019","61","","MORRISANIA","36-005-0080","AQS"
"03/09/2019","76","","IS 52","36-005-0110","AQS"
"03/10/2019","53","","IS 52","36-005-0110","AQS"
"03/11/2019","42","","IS 52","36-005-0110","AQS"
"03/12/2019","29","","IS 52","36-005-0110","AQS"
"03/13/2019","48","","IS 52","36-005-0110","AQS"
"03/14/2019","41","","IS 52","36-005-0110","AQS"
"03/15/2019","59","","MORRISANIA","36-005-0080","AQS"
"03/16/2019","39","","MORRISANIA","36-005-0080","AQS"
"03/17/2019","36","","MORRISANIA","36-005-0080","AQS"
"03/18/2019","23","","MORRISANIA","36-005-0080","AQS"
"03/19/2019","34","","IS 52","36-005-0110","AQS"
"03/20/2019","56","","IS 52","36-005-0110","AQS"
"03/21/2019","39","","IS 52","36-005-0110","AQS"
"03/22/2019","14","","IS 52","36-005-0110","AQS"
"03/23/2019","15","","MORRISANIA","36-005-0080","AQS"
"03/24/2019","23","","MORRISANIA","36-005-0080","AQS"
"03/25/2019","37","","IS 52","36-005-0110","AQS"
"03/26/2019","13","","IS 52","36-005-0110","AQS"
"03/27/2019","21","","IS 52","36-005-0110","AQS"
"03/28/2019","30","","IS 52","36-005-0110","AQS"
"03/29/2019","50","","IS 52","36-005-0110","AQS"
"03/30/2019","53","","IS 52","36-005-0110","AQS"
"03/31/2019","43","","IS 52","36-005-0110","AQS"
"04/01/2019","15","","IS 52","36-005-0110","AQS"
"04/02/2019","27","","IS 52","36-005-0110","AQS"
"04/03/2019","30","","IS 52","36-005-0110","AQS"
"04/04/2019","20","","IS 52","36-005-0110","AQS"
"04/05/2019","28","","IS 74","36-005-0112","AQS"
"04/06/2019","38","","IS 52","36-005-0110","AQS"
"04/07/2019","51","","IS 52","36-005-0110","AQS"
"04/08/2019","54","","IS 52","36-005-0110","AQS"
"04/09/2019","49","","IS 52","36-005-0110","AQS"
"04/10/2019","15","","IS 52","36-005-0110","AQS"
"04/11/2019","22","","IS 52","36-005-0110","AQS"
"04/12/2019","33","","IS 52","36-005-0110","AQS"
"04/13/2019","52","","IS 52","36-005-0110","AQS"
"04/14/2019","36","","IS 52","36-005-0110","AQS"
"04/15/2019","15","","IS 52","36-005-0110","AQS"
"04/16/2019","13","","IS 52","36-005-0110","AQS"
"04/17/2019","14","","IS 52","36-005-0110","AQS"
