date, pm25, o3, no2, co
2019/12/14, 19, 25, , 3
2019/12/15, 15, 24, , 2
2019/12/16, 30, 22, , 2
2019/12/17, 25, 24, , 2
2019/12/18, 17, 25, , 2
2019/12/19, 31, 26, , 2
2019/12/20, 32, 25, , 2
2019/12/21, 31, 20, , 5
2019/12/22, 37, 11, , 6
2019/12/23, 58, 17, , 7
2019/12/24, 50, 24, , 4
2019/12/25, 33, 18, , 5
2019/12/26, 43, 20, , 4
2019/12/27, 50, 18, , 4
2019/12/28, 37, 22, , 3
2019/12/29, 41, 21, , 
2019/12/30, 38, , , 
2019/7/2, 35, 40, 50, 
2019/7/3, 22, 102, , 
2019/7/4, 37, 62, , 
2019/7/5, 59, 55, , 1
2019/7/6, 65, 100, , 
2019/7/7, 40, 29, , 
2019/7/8, 46, 34, , 
2019/7/9, 35, 45, 28, 
2019/7/10, 42, 53, , 1
2019/7/11, 44, 42, , 3
2019/7/12, 40, 35, , 2
2019/7/13, 8, 38, 6, 2
2019/7/14, 15, 38, 7, 2
2019/7/15, 20, 30, 8, 2
2019/7/16, 6, 62, 18, 3
2019/7/17, 26, 46, 17, 3
2019/7/18, 44, 25, 13, 2
2019/7/19, 9, 64, 14, 3
2019/7/20, 34, 37, 7, 2
2019/7/21, 35, 34, 6, 2
2019/7/22, 30, 45, 13, 2
2019/7/23, 14, 22, 9, 2
2019/7/25, 11, 35, , 3
2019/7/26, 18, 42, , 4
2019/7/27, 29, 58, 17, 4
2019/7/28, 35, 46, 8, 3
2019/7/29, 49, 62, 12, 3
2019/7/30, 39, 65, 16, 4
2019/7/31, 54, 53, 23, 4
2019/8/1, 34, 36, 13, 3
2019/8/2, 13, 51, , 3
2019/8/3, 18, 53, , 3
2019/8/4, 20, 34, , 3
2019/8/5, 20, 46, , 2
2019/8/6, 12, 40, , 3
2019/8/7, 28, 37, , 3
2019/8/8, 30, 50, , 3
2019/8/9, 17, 32, , 3
2019/8/10, 12, 25, , 2
2019/8/11, 5, 21, , 2
2019/8/12, 7, 42, , 3
2019/8/13, 20, 33, , 3
2019/8/14, 47, 30, , 4
2019/8/15, 38, 37, , 3
2019/8/16, 24, 39, , 2
2019/8/17, 17, 33, , 2
2019/8/18, 14, 51, 13, 3
2019/8/19, 29, 47, 23, 3
2019/8/20, 20, 64, 17, 3
2019/8/21, 21, 46, 16, 3
2019/8/22, 34, 38, 11, 2
2019/8/23, 24, 21, 10, 3
2019/8/24, 10, 20, 5, 2
2019/8/25, 7, 22, , 2
2019/8/26, 5, 31, , 2
2019/8/27, 6, 34, , 2
2019/8/28, 12, 20, , 2
2019/8/29, 6, 33, , 1
2019/8/30, 9, 47, 11, 2
2019/8/31, 27, 31, 7, 2
2019/9/1, 12, 31, 6, 1
2019/9/2, 9, 25, 8, 2
2019/9/3, 14, 34, 10, 2
2019/9/4, 18, 43, 12, 2
2019/9/5, 34, 25, 6, 2
2019/9/6, 6, 22, , 2
2019/9/7, 4, 26, , 1
2019/9/8, 14, 26, , 2
2019/9/9, 20, 36, , 1
2019/9/10, 8, 22, , 3
2019/9/11, 10, 48, 14, 3
2019/9/12, 31, 23, 11, 2
2019/9/13, 30, 25, 8, 2
2019/9/14, 3, 24, 13, 2
2019/9/15, 12, 34, 10, 3
2019/9/16, 10, 26, 18, 3
2019/9/17, 18, 11, , 2
2019/9/18, 6, 7, , 2
2019/9/19, 7, 31, , 2
2019/9/20, 9, 44, , 3
2019/9/21, 18, 50, , 3
2019/9/22, 33, 62, , 
2019/9/23, 49, 52, , 
2019/9/24, 44, 24, , 1
2019/9/25, 5, 31, , 2
2019/9/26, 14, 35, 12, 3
2019/9/27, 26, 30, 15, 2
2019/9/28, 20, 40, 14, 2
2019/9/29, 27, 24, 9, 1
2019/9/30, 16, 26, 8, 
2019/10/1, 9, 35, 15, 
2019/4/2, 82, 39, 27, 
2019/4/3, 28, 44, , 
2019/4/4, 24, 39, , 
2019/4/5, 26, 150, 28, 
2019/4/6, 23, 99, , 
2019/4/7, 44, 43, , 
2019/4/8, 36, 35, , 
2019/4/9, 32, 23, 40, 1
2019/4/10, 45, 90, 33, 
2019/4/11, 33, 90, 34, 
2019/4/12, 36, 34, 48, 
2019/4/13, 52, 96, 46, 
2019/4/14, 37, 147, , 
2019/4/15, 52, 211, 90, 
2019/4/16, 16, 40, , 
2019/4/17, 47, 37, 27, 
2019/4/18, 33, 149, 69, 
2019/4/19, 18, 150, 33, 
2019/4/20, 42, 253, , 
2019/4/21, 30, 147, 63, 
2019/4/22, 31, 204, 56, 
2019/4/23, 50, 38, 27, 1
2019/4/24, 29, 149, 27, 
2019/4/25, 25, 206, 43, 
2019/4/26, 65, 182, 68, 
2019/4/27, 67, 267, , 
2019/4/28, 60, 206, 72, 
2019/4/29, 52, 91, , 
2019/4/30, 24, 85, 46, 
2019/5/1, 16, 30, , 
2019/5/2, 25, 150, , 
2019/5/3, 53, 206, , 
2019/5/4, 38, 147, 25, 
2019/5/5, 41, 27, 27, 1
2019/5/6, 77, 209, , 
2019/5/7, 37, 153, 42, 
2019/5/8, 29, 152, , 
2019/5/9, 53, 91, 45, 
2019/5/10, 82, 285, 50, 
2019/5/11, 28, 31, , 
2019/5/12, 33, 93, , 1
2019/5/13, 37, 88, 42, 1
2019/5/14, 86, 138, , 
2019/5/15, 70, 149, 27, 
2019/5/16, 35, 39, , 1
2019/5/17, 45, 39, , 
2019/5/18, 38, 97, 56, 
2019/5/19, 36, 41, , 
2019/5/20, 29, 42, , 
2019/5/21, 43, 30, 92, 
2019/5/22, 82, 33, 73, 
2019/5/23, 39, 88, 43, 
2019/5/24, 38, 266, 46, 
2019/5/25, 40, 101, 26, 
