date, pm25, o3, no2, co
2019/10/25, 25, 31, 23, 4
2019/10/26, 35, 29, 11, 2
2019/10/27, 21, 31, 7, 2
2019/10/28, 16, 24, 9, 2
2019/10/29, 10, 21, 12, 2
2019/10/30, 11, 20, 9, 2
2019/10/31, 12, 27, 8, 1
2019/11/1, 18, 25, 10, 1
2019/11/2, 13, 23, 13, 2
2019/11/3, 18, 24, 10, 2
2019/11/4, 22, 26, 18, 4
2019/11/5, 20, 24, 22, 2
2019/11/6, 23, 24, 16, 2
2019/11/7, 25, 24, 19, 3
2019/11/8, 36, 22, 9, 1
2019/11/9, 11, 20, 14, 2
2019/11/10, 11, 24, 22, 3
2019/11/11, 32, 22, 30, 5
2019/11/12, 61, 24, 12, 2
2019/11/13, 24, 25, 11, 2
2019/11/14, 13, 22, 23, 3
2019/11/15, 24, 16, 29, 3
2019/11/16, 49, 28, 7, 1
2019/11/17, 13, 27, 5, 1
2019/11/18, 12, 23, 13, 2
2019/11/19, 17, 15, 18, 3
2019/11/20, 25, 21, 13, 2
2019/11/21, 25, 19, 22, 3
2019/11/22, 32, 20, 14, 2
2019/11/23, 34, 20, 14, 2
2019/11/24, 17, 21, 13, 2
2019/11/25, 22, 13, 22, 3
2019/11/26, 56, 18, 31, 5
2019/11/27, 50, 22, 24, 5
2019/11/28, 50, 19, 4, 1
2019/11/29, 9, 21, 9, 2
2019/11/30, 9, 22, 14, 2
2019/12/1, 14, 27, 9, 2
2019/12/2, 14, 26, 12, 2
2019/12/3, 14, 25, 12, 2
2019/12/4, 16, 11, 25, 3
2019/12/5, 44, 23, 13, 2
2019/12/6, 21, 21, 14, 2
2019/12/7, 16, 24, 10, 2
2019/12/8, 12, 27, 20, 2
2019/12/9, 16, 20, 25, 4
2019/12/10, 19, 21, 13, 2
2019/12/11, 33, 18, 14, 2
2019/12/12, 24, 22, 21, 3
2019/12/13, 28, 5, 34, 5
2019/12/14, 31, 23, 16, 4
2019/12/15, 22, 23, 8, 2
2019/12/16, 23, 19, 18, 2
2019/12/17, 20, 18, 17, 2
2019/12/18, 18, 23, 14, 2
2019/12/19, 23, 24, 10, 1
2019/12/20, 20, 19, 20, 2
2019/12/21, 25, 13, 28, 4
2019/12/22, 36, 11, 31, 6
2019/12/23, 83, 11, 36, 5
2019/12/24, 71, 21, 21, 3
2019/12/25, 35, 17, 28, 4
2019/12/26, 42, 21, 18, 4
2019/12/27, 55, 22, 18, 3
2019/12/28, 28, 19, 19, 4
2019/12/29, 55, 16, 21, 3
2019/12/30, 48, , , 
2019/7/2, 35, 167, 15, 2
2019/7/3, 134, 238, 19, 2
2019/7/4, 80, 54, 15, 4
2019/7/5, 69, 158, 5, 2
2019/7/6, 55, 156, 6, 2
2019/7/7, 93, 500, 9, 1
2019/7/8, 112, 442, 13, 2
2019/7/9, 102, 173, 14, 3
2019/7/10, 105, 60, 16, 3
2019/7/11, 59, 38, 8, 2
2019/7/12, 34, 39, 9, 2
2019/7/13, 27, 46, 7, 2
2019/7/14, 33, 46, 8, 2
2019/7/15, 37, 42, 10, 2
2019/7/16, 22, 66, 13, 2
2019/7/17, 42, 59, 10, 2
2019/7/18, 57, 29, 9, 2
2019/7/19, 25, 46, 10, 2
2019/7/20, 48, 53, 10, 2
2019/7/21, 52, 46, 8, 2
