"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/12/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"02/13/2015","37","","WHITE PLAINS","36-119-2004","AQS"
"02/14/2015","50","","WHITE PLAINS","36-119-2004","AQS"
"02/15/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"02/16/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"02/17/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"02/18/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"02/19/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"02/20/2015","43","","WHITE PLAINS","36-119-2004","AQS"
"02/21/2015","50","","WHITE PLAINS","36-119-2004","AQS"
"02/22/2015","58","","WHITE PLAINS","36-119-2004","AQS"
"02/23/2015","43","","WHITE PLAINS","36-119-2004","AQS"
"02/24/2015","37","","WHITE PLAINS","36-119-2004","AQS"
"02/25/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"02/26/2015","36","","WHITE PLAINS","36-119-2004","AQS"
"02/27/2015","43","","WHITE PLAINS","36-119-2004","AQS"
"02/28/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"03/01/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"03/02/2015","53","","WHITE PLAINS","36-119-2004","AQS"
"03/03/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"03/04/2015","56","","WHITE PLAINS","36-119-2004","AQS"
"03/05/2015","43","","WHITE PLAINS","36-119-2004","AQS"
"03/06/2015","40","","WHITE PLAINS","36-119-2004","AQS"
"03/07/2015","53","","WHITE PLAINS","36-119-2004","AQS"
"03/08/2015","53","","WHITE PLAINS","36-119-2004","AQS"
"03/09/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"03/10/2015","44","","WHITE PLAINS","36-119-2004","AQS"
"03/11/2015","37","","WHITE PLAINS","36-119-2004","AQS"
"03/12/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"03/13/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"03/14/2015","11","","WHITE PLAINS","36-119-2004","AQS"
"03/15/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"03/16/2015","31","","WHITE PLAINS","36-119-2004","AQS"
"03/17/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"03/18/2015","15","","WHITE PLAINS","36-119-2004","AQS"
