"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/12/2017","39","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/13/2017","40","","Queens College Near Road","36-081-0125","AQS"
"09/14/2017","40","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/15/2017","41","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/16/2017","58","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/17/2017","59","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/18/2017","23","","Queens College Near Road","36-081-0125","AQS"
"09/19/2017","35","","Queens College Near Road","36-081-0125","AQS"
"09/20/2017","22","","Queens College Near Road","36-081-0125","AQS"
"09/21/2017","35","","Queens College Near Road","36-081-0125","AQS"
"09/22/2017","27","","Queens College Near Road","36-081-0125","AQS"
"09/23/2017","24","","Queens College Near Road","36-081-0125","AQS"
"09/24/2017","43","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/25/2017","49","","Queens College Near Road","36-081-0125","AQS"
"09/26/2017","16","","Queens College Near Road","36-081-0125","AQS"
"09/27/2017","25","","Queens College Near Road","36-081-0125","AQS"
"09/28/2017","21","","Queens College Near Road","36-081-0125","AQS"
"09/29/2017","21","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/30/2017","24","","Queens College Near Road","36-081-0125","AQS"
"10/01/2017","31","","Queens College Near Road","36-081-0125","AQS"
"10/02/2017","29","","Queens College Near Road","36-081-0125","AQS"
"10/03/2017","25","","Queens College Near Road","36-081-0125","AQS"
"10/04/2017","29","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/05/2017","45","","MASPETH LIBRARY","36-081-0120","AQS"
"10/06/2017","41","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/07/2017","33","","Queens College Near Road","36-081-0125","AQS"
"10/08/2017","29","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/09/2017","30","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/10/2017","30","","Queens College Near Road","36-081-0125","AQS"
"10/11/2017","40","","Queens College Near Road","36-081-0125","AQS"
"10/12/2017","20","","Queens College Near Road","36-081-0125","AQS"
"10/13/2017","27","","Queens College Near Road","36-081-0125","AQS"
