Week,Date,Essex,Average
12,3/16/2017 - 3/22/2017,13.14285714,13.14285714
13,3/23/2017 - 3/29/2017,5.571428571,5.571428571
14,3/30/2017 - 4/5/2017,15.71428571,15.71428571
15,4/6/2017 - 4/12/2017,16.14285714,16.14285714
16,4/13/2017 - 4/19/2017,8,8
17,4/20/2017 - 4/26/2017,9.428571429,9.428571429
18,4/27/2017 - 5/3/2017,5.8,5.8
19,5/4/2017 - 5/10/2017,12.28571429,12.28571429
20,5/11/2017 - 5/17/2017,16.6,16.6
21,5/18/2017 - 5/24/2017,10.57142857,10.57142857
22,5/25/2017 - 5/31/2017,5.333333333,5.333333333
23,6/1/2017 - 6/7/2017,24.8,24.8
24,6/8/2017 - 6/14/2017,14.2,14.2
25,6/15/2017 - 6/21/2017,10.5,10.5
26,6/22/2017 - 6/28/2017,16.57142857,16.57142857
27,6/29/2017 - 7/5/2017,22.57142857,22.57142857
28,7/6/2017 - 7/12/2017,18.14285714,18.14285714
29,7/13/2017 - 7/19/2017,17.28571429,17.28571429
30,7/20/2017 - 7/26/2017,18.2,18.2
31,7/27/2017 - 8/2/2017,27.57142857,27.57142857
32,8/3/2017 - 8/9/2017,28,28
33,8/10/2017 - 8/16/2017,26.28571429,26.28571429
34,8/17/2017 - 8/23/2017,14.8,14.8
35,8/24/2017 - 8/30/2017,20.28571429,20.28571429
36,8/31/2017 - 9/6/2017,11.71428571,11.71428571
37,9/7/2017 - 9/13/2017,30.16666667,30.16666667
38,9/14/2017 - 9/20/2017,29,29
39,9/21/2017 - 9/27/2017,8.714285714,8.714285714
40,9/28/2017 - 10/4/2017,5.285714286,5.285714286
41,10/5/2017 - 10/11/2017,11.85714286,11.85714286
42,10/12/2017 - 10/18/2017,13.71428571,13.71428571
43,10/19/2017 - 10/25/2017,8,8
44,10/26/2017 - 11/1/2017,8.857142857,8.857142857
45,11/2/2017 - 11/8/2017,12.14285714,12.14285714
46,11/9/2017 - 11/15/2017,9.571428571,9.571428571
47,11/16/2017 - 11/22/2017,10.71428571,10.71428571
48,11/23/2017 - 11/29/2017,12,12
49,11/30/2017 - 12/6/2017,10.28571429,10.28571429
50,12/7/2017 - 12/13/2017,10.71428571,10.71428571
51,12/14/2017 - 12/20/2017,12.42857143,12.42857143
52,12/21/2017 - 12/27/2017,8.428571429,8.428571429
1,12/28/2017 - 1/3/2018,17.42857143,17.42857143
2,1/4/2018 - 1/10/2018,16,16
3,1/11/2018 - 1/17/2018,22.85714286,22.85714286
4,1/18/2018 - 1/24/2018,14,14
5,1/25/2018 - 1/31/2018,16.71428571,16.71428571
6,2/1/2018 - 2/7/2018,23.42857143,23.42857143
7,2/8/2018 - 2/14/2018,18.14285714,18.14285714
8,2/15/2018 - 2/21/2018,11.28571429,11.28571429
