DateNoYear,Date20,PM2.5 AQI Value 20,NO2 AQI Value 20,Date19,PM2.5 AQI Value 19,NO2 AQI Value 19,Date18,PM2.5 AQI Value 18,NO2 AQI Value 18,Date17,PM2.5 AQI Value 17,NO2 AQI Value 17,Date16,PM2.5 AQI Value 16,NO2 AQI Value 16,Avg PM2.5,confidence 90 PM2.5,confidence 95 PM2.5,confidence 99 PM2.5,Avg NO2,confidence 90 NO2,confidence 95 NO2,confidence 90 NO2
4/7/1900,4/7/2020,23,.,4/8/2019,31,19,4/8/2018,16,12,4/8/2017,14,18,4/7/2016,29,13,22.5,7.185456672,8.561999717,11.25237501,15.5,2.888268048,3.441583652,4.523007611
4/8/1900,4/8/2020,36,.,4/9/2019,20,11,4/9/2018,14,25,4/9/2017,24,25,4/8/2016,24,12,20.5,3.886637487,4.631214213,6.086447187,18.25,6.418969714,7.648674174,10.05206179
4/9/1900,4/9/2020,29,.,4/10/2019,14,25,4/10/2018,28,27,4/10/2017,43,24,4/9/2016,19,8,26,10.46778438,12.47313442,16.39247731,21,7.201128352,8.580673676,11.27691676
4/10/1900,4/10/2020,12,.,4/11/2019,18,12,4/11/2018,56,23,4/11/2017,37,18,4/10/2016,23,13,33.5,13.99737256,16.67889813,21.91978776,16.5,4.166601792,4.964812259,6.524869336
4/11/1900,4/11/2020,22,.,4/12/2019,27,9,4/12/2018,51,28,4/12/2017,20,8,4/11/2016,33,15,32.75,10.91847098,13.01016062,17.09824937,15,7.567518513,9.017254481,11.85068119
4/12/1900,4/12/2020,29,.,4/13/2019,17,10,4/13/2018,26,16,4/13/2017,15,25,4/12/2016,21,19,19.75,3.993924546,4.759054629,6.254457974,17.5,5.136053804,6.11998558,8.043024422
4/13/1900,4/13/2020,15,.,4/14/2019,15,4,4/14/2018,20,5,4/14/2017,20,28,4/13/2016,30,34,21.25,5.174321897,6.165584826,8.10295199,17.75,12.74761561,15.18972088,19.9626771
4/14/1900,4/14/2020,19,.,4/15/2019,14,7,4/15/2018,14,6,4/15/2017,38,16,4/14/2016,33,33,24.75,10.34592011,12.32792418,16.20163871,15.5,10.28307623,12.25304107,16.10322562
4/15/1900,4/15/2020,29,.,4/16/2019,18,22,4/16/2018,10,9,4/16/2017,38,9,4/15/2016,33,36,24.75,10.68891227,12.73662454,16.73876203,19,10.59622826,12.62618474,16.59361953
4/16/1900,4/16/2020,22,.,4/17/2019,21,18,4/17/2018,14,9,4/17/2017,13,8,4/16/2016,41,32,22.25,10.68891227,12.73662454,16.73876203,16.75,9.14275777,10.89426783,14.31749488
4/17/1900,4/17/2020,33,.,4/18/2019,35,8,4/18/2018,18,9,4/18/2017,14,10,4/17/2016,52,27,29.75,14.31392857,17.05609789,22.41551227,13.5,7.432239155,8.856059183,11.63883466
4/18/1900,4/18/2020,35,.,4/19/2019,32,21,4/19/2018,25,9,4/19/2017,27,20,4/18/2016,48,22,33,8.573248927,10.21565619,13.425648,18,4.980041666,5.934085652,7.798710503
4/19/1900,4/19/2020,39,.,4/20/2019,16,7,4/20/2018,19,8,4/20/2017,14,10,4/19/2016,21,8,17.5,2.557028878,3.046887836,4.004289382,8.25,1.034864379,1.233116965,1.620590398
4/20/1900,4/20/2020,19,.,4/21/2019,39,9,4/21/2018,16,17,4/21/2017,19,13,4/20/2016,22,23,24,8.46740229,10.08953214,13.25989291,15.5,4.911662563,5.852606925,7.691629305
4/21/1900,4/21/2020,16,.,4/22/2019,29,17,4/22/2018,21,20,4/22/2017,13,17,4/21/2016,46,31,27.25,11.59932849,13.82145238,18.16446748,21.25,5.470838552,6.518906212,8.567295002
4/22/1900,4/22/2020,22,.,4/23/2019,23,15,4/23/2018,44,24,4/23/2017,23,20,4/22/2016,49,18,34.75,11.28404355,13.44576721,17.67073347,19.25,3.104593138,3.699350896,4.861771194
4/23/1900,4/23/2020,28,.,4/24/2019,14,17,4/24/2018,28,12,4/24/2017,15,21,4/23/2016,21,10,19.5,5.308742253,6.325756559,8.313453329,15,4.084627845,4.867134276,6.396498707
4/24/1900,4/24/2020,24,.,4/25/2019,22,20,4/25/2018,13,10,4/25/2017,17,20,4/24/2016,22,15,18.5,3.584875368,4.271642471,5.613889815,16.25,3.937068627,4.691306623,6.165422
4/25/1900,4/25/2020,20,.,4/26/2019,24,12,4/26/2018,29,11,4/26/2017,13,12,4/25/2016,26,13,23,5.737372688,6.836501224,8.984685599,12,0.671508681,0.800151946,1.05157791
4/26/1900,4/26/2020,25,.,4/27/2019,16,7,4/27/2018,20,11,4/27/2017,15,15,4/26/2016,35,17,21.5,7.612077398,9.070349667,11.92046009,12.5,3.647225701,4.345937475,5.711530001
4/27/1900,4/27/2020,18,.,4/28/2019,20,14,4/28/2018,33,11,4/28/2017,20,13,4/27/2016,36,25,27.25,6.958301138,8.291327204,10.89665103,15.75,5.174321897,6.165584826,8.10295199
4/28/1900,4/28/2020,24,.,4/29/2019,16,29,4/29/2018,13,11,4/29/2017,17,14,4/28/2016,23,40,17.25,3.448640036,4.10930806,5.400546236,23.5,11.12558372,13.25695067,17.42258648
