"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2016","23","","CCNY","36-061-0135","AQS"
"01/02/2016","21","","CCNY","36-061-0135","AQS"
"01/03/2016","22","","CCNY","36-061-0135","AQS"
"01/04/2016","22","","CCNY","36-061-0135","AQS"
"01/05/2016","20","","CCNY","36-061-0135","AQS"
"01/06/2016","6","","CCNY","36-061-0135","AQS"
"01/07/2016","4","","CCNY","36-061-0135","AQS"
"01/08/2016","18","","CCNY","36-061-0135","AQS"
"01/09/2016","25","","CCNY","36-061-0135","AQS"
"01/10/2016","26","","CCNY","36-061-0135","AQS"
"01/11/2016","25","","CCNY","36-061-0135","AQS"
"01/12/2016","22","","CCNY","36-061-0135","AQS"
"01/13/2016","25","","CCNY","36-061-0135","AQS"
"01/14/2016","14","","CCNY","36-061-0135","AQS"
"01/15/2016","14","","CCNY","36-061-0135","AQS"
"01/16/2016","23","","CCNY","36-061-0135","AQS"
"01/17/2016","22","","CCNY","36-061-0135","AQS"
"01/18/2016","26","","CCNY","36-061-0135","AQS"
"01/19/2016","26","","CCNY","36-061-0135","AQS"
"01/20/2016","23","","CCNY","36-061-0135","AQS"
"01/21/2016","25","","CCNY","36-061-0135","AQS"
"01/22/2016","24","","CCNY","36-061-0135","AQS"
"01/23/2016","28","","CCNY","36-061-0135","AQS"
"01/24/2016","25","","CCNY","36-061-0135","AQS"
"01/25/2016","12","","CCNY","36-061-0135","AQS"
"01/26/2016","10","","CCNY","36-061-0135","AQS"
"01/27/2016","19","","CCNY","36-061-0135","AQS"
"01/28/2016","14","","CCNY","36-061-0135","AQS"
"01/29/2016","19","","CCNY","36-061-0135","AQS"
"01/30/2016","16","","CCNY","36-061-0135","AQS"
"01/31/2016","12","","CCNY","36-061-0135","AQS"
"02/01/2016","19","","CCNY","36-061-0135","AQS"
"02/02/2016","25","","CCNY","36-061-0135","AQS"
"02/03/2016","19","","CCNY","36-061-0135","AQS"
"02/04/2016","23","","CCNY","36-061-0135","AQS"
"02/05/2016","26","","CCNY","36-061-0135","AQS"
"02/06/2016","19","","CCNY","36-061-0135","AQS"
"02/07/2016","25","","CCNY","36-061-0135","AQS"
"02/08/2016","26","","CCNY","36-061-0135","AQS"
"02/09/2016","18","","CCNY","36-061-0135","AQS"
"02/10/2016","20","","CCNY","36-061-0135","AQS"
"02/11/2016","31","","CCNY","36-061-0135","AQS"
"02/12/2016","25","","CCNY","36-061-0135","AQS"
"02/13/2016","31","","CCNY","36-061-0135","AQS"
"02/14/2016","22","","CCNY","36-061-0135","AQS"
"02/15/2016","6","","CCNY","36-061-0135","AQS"
"02/16/2016","29","","CCNY","36-061-0135","AQS"
"02/17/2016","19","","CCNY","36-061-0135","AQS"
"02/18/2016","27","","CCNY","36-061-0135","AQS"
"02/19/2016","22","","CCNY","36-061-0135","AQS"
"02/20/2016","25","","CCNY","36-061-0135","AQS"
"02/21/2016","24","","CCNY","36-061-0135","AQS"
"02/22/2016","25","","CCNY","36-061-0135","AQS"
"02/24/2016","23","","CCNY","36-061-0135","AQS"
