date, pm25, o3, no2, co
2020/5/2, 8, 34, 6, 1
2020/5/3, 11, 43, 5, 2
2020/5/4, 27, 36, 11, 1
2020/5/5, 18, 37, 10, 1
2020/5/6, 12, 32, 16, 1
2020/5/7, 13, 37, 16, 2
2020/5/8, 13, , , 
2020/5/9, 13, , , 
2020/5/10, 7, 39, 2, 1
2020/5/11, 10, 29, 10, 1
2020/5/12, 14, 37, 8, 1
2020/5/13, 11, 33, 13, 1
2020/5/14, 19, 40, 16, 3
2020/5/15, 28, 46, 16, 2
2020/5/16, 39, 38, 6, 1
2020/5/17, 24, 38, 2, 1
2020/5/18, 10, 38, 11, 
2020/5/19, 11, 34, 8, 
2020/5/20, 10, 34, 9, 
2020/5/21, 7, 30, 12, 
2020/5/22, 15, 31, 10, 
2020/5/23, 19, 25, 6, 
2020/5/24, 13, , , 
2020/5/25, 20, , , 
2020/5/26, 19, , , 
2020/4/2, 14, , , 
2020/4/3, 10, , , 
2020/4/4, 8, , , 
2020/4/5, 10, , , 
2020/4/6, 32, , , 
2020/4/7, 19, , , 
2020/4/8, 17, , , 
2020/4/9, 33, , , 
2020/4/10, 14, , , 
2020/4/11, 10, , , 
2020/4/12, 13, , , 
2020/4/13, 31, , , 
2020/4/14, 19, , , 
2020/4/15, 12, , , 
2020/4/16, 14, , , 
2020/4/17, 15, , , 
2020/4/18, 17, , , 
2020/4/19, 15, , , 
2020/4/20, 27, , , 
2020/4/21, 17, , , 
2020/4/22, 25, , , 
2020/4/25, 16, , , 
2020/4/26, 26, , , 
2020/4/27, 11, , , 
2020/4/28, 5, , , 
2020/4/29, 19, , , 
2020/4/30, 22, , , 
2020/5/1, 24, 33, 11, 2
2020/3/7, 25, , , 
2020/3/8, 21, , , 
2020/3/9, 23, , , 
2020/3/10, 38, , , 
2020/3/11, 44, , , 
2020/3/12, 7, , , 
2020/3/13, 27, , , 
2020/3/14, 20, , , 
2020/3/15, 16, , , 
2020/3/16, 17, , , 
2020/3/17, 19, , , 
2020/3/18, 22, , , 
2020/3/19, 22, , , 
2020/3/20, 14, , , 
2020/3/21, 27, , , 
2020/3/22, 17, , , 
2020/3/23, 24, , , 
2020/3/24, 12, , , 
2020/3/25, 12, , , 
2020/3/26, 18, , , 
2020/3/27, 25, , , 
2020/3/28, 26, , , 
