Week,Date,Steuben,Monroe,Average
42,10/13/2016 - 10/19/2016,21.14285714,52.28571429,36.71428571
43,10/20/2016 - 10/26/2016,11.83333333,19.28571429,15.55952381
44,10/27/2016 - 11/2/2016,21.42857143,29.85714286,25.64285714
45,11/3/2016 - 11/9/2016,20.4,30.42857143,25.41428571
46,11/10/2016 - 11/16/2016,21.83333333,35.57142857,28.70238095
47,11/17/2016 - 11/23/2016,16.5,32.14285714,24.32142857
48,11/24/2016 - 11/30/2016,22.85714286,38.16666667,30.51190476
49,12/1/2016 - 12/7/2016,10.25,28.28571429,19.26785714
50,12/8/2016 - 12/14/2016,21.57142857,38.85714286,30.21428571
51,12/15/2016 - 12/21/2016,21.28571429,47.85714286,34.57142857
52,12/22/2016 - 12/28/2016,19.66666667,43.14285714,31.40476191
1,12/29/2016 - 1/4/2017,13.71428571,38.71428571,26.21428571
2,1/5/2017 - 1/11/2017,26.16666667,44.57142857,35.36904762
3,1/12/2017 - 1/18/2017,20.85714286,43.57142857,32.21428572
4,1/19/2017 - 1/25/2017,13.28571429,33.57142857,23.42857143
5,1/26/2017 - 2/1/2017,11.14285714,29.57142857,20.35714286
6,2/2/2017 - 2/8/2017,17.33333333,33,25.16666667
7,2/9/2017 - 2/15/2017,18.14285714,34.57142857,26.35714286
8,2/16/2017 - 2/22/2017,20.57142857,42.71428571,31.64285714
9,2/23/2017 - 3/1/2017,20.85714286,31.57142857,26.21428572
10,3/2/2017 - 3/8/2017,12,23,17.5
11,3/9/2017 - 3/15/2017,10.57142857,21.85714286,16.21428571
12,3/16/2017 - 3/22/2017,23.57142857,39,31.28571429
13,3/23/2017 - 3/29/2017,19,29,24
14,3/30/2017 - 4/5/2017,9.285714286,15.71428571,12.5
15,4/6/2017 - 4/12/2017,11.16666667,22.85714286,17.01190476
16,4/13/2017 - 4/19/2017,15.28571429,23.57142857,19.42857143
17,4/20/2017 - 4/26/2017,9.142857143,16.28571429,12.71428571
18,4/27/2017 - 5/3/2017,15.28571429,16.71428571,16
19,5/4/2017 - 5/10/2017,4.857142857,11.57142857,8.214285714
20,5/11/2017 - 5/17/2017,16.42857143,26.42857143,21.42857143
21,5/18/2017 - 5/24/2017,19.42857143,25.28571429,22.35714286
22,5/25/2017 - 5/31/2017,13.42857143,24.14285714,18.78571429
23,6/1/2017 - 6/7/2017,15.71428571,17,16.35714286
24,6/8/2017 - 6/14/2017,28.57142857,36.57142857,32.57142857
25,6/15/2017 - 6/21/2017,22.57142857,23.42857143,23
26,6/22/2017 - 6/28/2017,14.28571429,21,17.64285715
27,6/29/2017 - 7/5/2017,23.14285714,35.14285714,29.14285714
28,7/6/2017 - 7/12/2017,24.42857143,36,30.21428572
29,7/13/2017 - 7/19/2017,24.14285714,40,32.07142857
30,7/20/2017 - 7/26/2017,22.57142857,37.57142857,30.07142857
31,7/27/2017 - 8/2/2017,26.42857143,45.2,35.81428572
32,8/3/2017 - 8/9/2017,19.66666667,31.42857143,25.54761905
33,8/10/2017 - 8/16/2017,32.5,37.57142857,35.03571429
34,8/17/2017 - 8/23/2017,30,36.85714286,33.42857143
35,8/24/2017 - 8/30/2017,23,28.71428571,25.85714286
36,8/31/2017 - 9/6/2017,26.28571429,31.28571429,28.78571429
37,9/7/2017 - 9/13/2017,10.14285714,21.14285714,15.64285714
38,9/14/2017 - 9/20/2017,24.28571429,49.42857143,36.85714286
39,9/21/2017 - 9/27/2017,32.57142857,58,45.28571429
40,9/28/2017 - 10/4/2017,12.33333333,18.57142857,15.45238095
