"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"04/20/2015","","PINNACLE STATE PARK","36-101-0003","13"
"04/21/2015","","PINNACLE STATE PARK","36-101-0003","13"
"04/22/2015","","PINNACLE STATE PARK","36-101-0003","8"
"04/23/2015","","PINNACLE STATE PARK","36-101-0003","2"
"04/24/2015","","PINNACLE STATE PARK","36-101-0003","13"
"04/25/2015","","PINNACLE STATE PARK","36-101-0003","8"
"04/26/2015","","PINNACLE STATE PARK","36-101-0003","8"
"04/27/2015","","PINNACLE STATE PARK","36-101-0003","13"
"04/28/2015","","PINNACLE STATE PARK","36-101-0003","10"
"04/29/2015","","PINNACLE STATE PARK","36-101-0003","10"
"04/30/2015","","PINNACLE STATE PARK","36-101-0003","15"
"05/01/2015","","PINNACLE STATE PARK","36-101-0003","7"
"05/02/2015","","PINNACLE STATE PARK","36-101-0003","15"
"05/03/2015","","PINNACLE STATE PARK","36-101-0003","25"
"05/04/2015","","PINNACLE STATE PARK","36-101-0003","30"
"05/05/2015","","PINNACLE STATE PARK","36-101-0003","36"
"05/06/2015","","PINNACLE STATE PARK","36-101-0003","23"
"05/07/2015","","PINNACLE STATE PARK","36-101-0003","32"
"05/08/2015","","PINNACLE STATE PARK","36-101-0003","35"
"05/09/2015","","PINNACLE STATE PARK","36-101-0003","42"
"05/10/2015","","PINNACLE STATE PARK","36-101-0003","30"
"05/11/2015","","PINNACLE STATE PARK","36-101-0003","32"
"05/12/2015","","PINNACLE STATE PARK","36-101-0003","22"
"05/13/2015","","PINNACLE STATE PARK","36-101-0003","8"
"05/14/2015","","PINNACLE STATE PARK","36-101-0003","21"
"05/15/2015","","PINNACLE STATE PARK","36-101-0003","30"
"05/16/2015","","PINNACLE STATE PARK","36-101-0003","40"
"05/17/2015","","PINNACLE STATE PARK","36-101-0003","33"
"05/18/2015","","PINNACLE STATE PARK","36-101-0003","33"
"05/19/2015","","PINNACLE STATE PARK","36-101-0003","18"
"05/20/2015","","PINNACLE STATE PARK","36-101-0003","11"
"05/21/2015","","PINNACLE STATE PARK","36-101-0003","14"
"05/22/2015","","PINNACLE STATE PARK","36-101-0003","14"
