Week,Date,Manhattan,Brooklyn,Average
29,7/14/2016 - 7/20/2016,41.14285714,34,37.57142857
30,7/21/2016 - 7/27/2016,43.57142857,33.57142857,38.57142857
31,7/28/2016 - 8/3/2016,48.71428571,38.14285714,43.42857143
32,8/4/2016 - 8/10/2016,32.85714286,28.28571429,30.57142858
33,8/11/2016 - 8/17/2016,35.71428571,30,32.85714286
34,8/18/2016 - 8/24/2016,31.42857143,24,27.71428572
35,8/25/2016 - 8/31/2016,33.57142857,26.71428571,30.14285714
36,9/1/2016 - 9/7/2016,26.85714286,18.14285714,22.5
37,9/8/2016 - 9/14/2016,40.14285714,32,36.07142857
38,9/15/2016 - 9/21/2016,26.57142857,21.14285714,23.85714286
39,9/22/2016 - 9/28/2016,29.28571429,20.57142857,24.92857143
40,9/29/2016 - 10/5/2016,29.28571429,20,24.64285715
41,10/6/2016 - 10/12/2016,32.85714286,25.71428571,29.28571429
42,10/13/2016 - 10/19/2016,43.85714286,35.71428571,39.78571429
43,10/20/2016 - 10/26/2016,26.28571429,16.28571429,21.28571429
44,10/27/2016 - 11/2/2016,37.28571429,26,31.64285715
45,11/3/2016 - 11/9/2016,36.57142857,34.42857143,35.5
46,11/10/2016 - 11/16/2016,38.28571429,29.85714286,34.07142858
47,11/17/2016 - 11/23/2016,37,30.28571429,33.64285715
48,11/24/2016 - 11/30/2016,41.85714286,34.42857143,38.14285715
49,12/1/2016 - 12/7/2016,37.85714286,26.28571429,32.07142858
50,12/8/2016 - 12/14/2016,49.57142857,40.14285714,44.85714286
51,12/15/2016 - 12/21/2016,50.42857143,42,46.21428572
52,12/22/2016 - 12/28/2016,47.71428571,37.42857143,42.57142857
1,12/29/2016 - 1/4/2017,47.57142857,35.71428571,41.64285714
2,1/5/2017 - 1/11/2017,52.14285714,42.85714286,47.5
3,1/12/2017 - 1/18/2017,53,43.71428571,48.35714286
4,1/19/2017 - 1/25/2017,46,34.14285714,40.07142857
5,1/26/2017 - 2/1/2017,43.85714286,32.57142857,38.21428572
6,2/2/2017 - 2/8/2017,49,42.42857143,45.71428572
7,2/9/2017 - 2/15/2017,46.42857143,34.14285714,40.28571429
8,2/16/2017 - 2/22/2017,48,36,42
9,2/23/2017 - 3/1/2017,49,34.14285714,41.57142857
10,3/2/2017 - 3/8/2017,48.42857143,26.57142857,37.5
11,3/9/2017 - 3/15/2017,38.42857143,19.57142857,29
12,3/16/2017 - 3/22/2017,45,30.71428571,37.85714286
13,3/23/2017 - 3/29/2017,48.71428571,32.28571429,40.5
14,3/30/2017 - 4/5/2017,31.57142857,18.57142857,25.07142857
15,4/6/2017 - 4/12/2017,41.42857143,30.57142857,36
16,4/13/2017 - 4/19/2017,26.14285714,21.71428571,23.92857143
